ad_id,rec_num,coder,NOCODE,NOCODE_TXT,TEXT,VIDEO,IMAGE,LINK,ADREMOVED,NODISCLAIMER,OFFICE1,CAND1,TONE1,OFFICE2,CAND2,TONE2,OFFICE3,CAND3,TONE3,OFFICE4,CAND4,TONE4,OFFICE5,CAND5,TONE5,OFFICE6,CAND6,TONE6,OFFICE7,CAND7,TONE7,OFFICE8,CAND8,TONE8,MORETHAN8,MORETHAN8_TXT,candnumber,othercand1_mnt,othercand1_pic,othercand1_audio,othercand1_ocr,othercand1_txt,othercand2_mnt,othercand2_pic,othercand2_audio,othercand2_ocr,othercand2_txt,othercand3_mnt,othercand3_pic,othercand3_audio,othercand3_ocr,othercand3_txt,othercand4_mnt,othercand4_pic,othercand4_audio,othercand4_ocr,othercand4_txt,othercand5_mnt,othercand5_pic,othercand5_audio,othercand5_ocr,othercand5_txt,DEMMT,GOPMT,FAVORED,MULTI_FAV,TARGETED,MULTI_TGT,NOCAND,FAV1,FAV2,FAV3,FAV4,FAV5,FAV6,FAV7,FAV8,TGT1,TGT2,TGT3,TGT4,TGT5,TGT6,TGT7,TGT8,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE,MENTION1,MENTION33,MENTION3,MENTION4,MENTION5,MENTION6,MENTION7,MENTION8,MENTION15,MENTION16,MENTION17,MENTION19,MENTION21,MENTION23,MENTIONCOMM,MENTIONNEIGH,MENTIONTOGETH,MENTION18,MENTION26,MENTIONWC,MENTIONMC,MENTIONUC,TOC_DRUGS,TOC_ECON,TOC_EDU,TOC_ENVT,TOC_ETHICS,TOC_FOREIGN,TOC_HEALTH,TOC_LAW,TOC_SOCIAL,TOC_OTHER,ISSUE210,ISSUE41,ISSUE54,ISSUE106,ISSUE44,ISSUE33,ISSUE22,ISSUE10,ISSUE11,ISSUE12,ISSUE13,ISSUE20,ISSUE18,ISSUE16,ISSUE217,ISSUE17,ISSUE14,ISSUE215,ISSUE23,ISSUE19,ISSUE15,ISSUE21,ISSUE24,ISSUE50,ISSUE51,ISSUE52,ISSUE80,ISSUE82,ISSUE113,ISSUE83,ISSUE84,ISSUE90,ISSUE91,ISSUE92,ISSUE60,ISSUE61,ISSUE62,ISSUE63,ISSUE64,ISSUE68,ISSUE69,ISSUE66,ISSUE67,ISSUE70,ISSUE71,ISSUE72,ISSUE73,ISSUE74,ISSUE75,ISSUE76,ISSUE65,ISSUE114,ISSUE53,ISSUE59,ISSUE58,ISSUE55,ISSUE110,ISSUE218,ISSUE219,ISSUE220,ISSUE208,ISSUE105,ISSUE116,ISSUE117,ISSUE209,ISSUE40,ISSUE45,ISSUE43,ISSUE42,ISSUE212,ISSUE221,ISSUE200,ISSUE95,ISSUE109,ISSUE30,ISSUE32,ISSUE37,GUNPIC,ISSUE108,ISSUE102,ISSUE56,ISSUE57,ISSUE112,ISSUE31,ISSUE101,ISSUE38,ISSUE39,ISSUE34,ISSUE35,ISSUE36,ISSUE107,ISSUE93,ISSUE111,ISSUE94,ISSUE96,ISSUE98,ISSUE99,ISSUE103,ISSUE104,ISSUE118,ISSUE97,ISSUE97_TXT,CAND1_pic,CAND1_pic_tone,CAND2_pic,CAND2_pic_tone,CAND3_pic,CAND3_pic_tone,CAND4_pic,CAND4_pic_tone,CAND5_pic,CAND5_pic_tone,CAND6_pic,CAND6_pic_tone,CAND7_pic,CAND7_pic_tone,CAND8_pic,CAND8_pic_tone,pic_face,pic_color,pic_otherpeople,pic_oth,pic_oth_txt,PAGENAME_INFO,PAGENAME_INFO_TXT,OTHERNOTES,OTHERNOTES_TXT,PROB_VID_NOCODE,PROB_VID_PARTIAL,PROB_DONTUSE,PROB_SPANISH,PROB_OTH,PROB_QUEST,PROB_OTH_TXT,PROB_QUEST_TXT,NOMINATE,NOMINATE_TXT
x_694214344501768,11,achampeau@wesleyan.edu,, ,Text,Video(s),,Link(s),,,Down-ballot candidate/governor,,In a way to show approval or support,,,In a way to show approval or support,,,,,,,,,,,,,,,,,,,, ,0,Mentioned in text of the ad,Pictured in image or video,Mentioned in audio of video,Mentioned in on-screen text of video or image,Zach Stephenson,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law & Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supreme Court/Judiciary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, 
x_1221122358264741,12,medward2@bowdoin.edu,, ,Text,,Still images(s),Link(s),,,U.S. House,Stephanie Bice,In a way to show approval or support,President,Donald Trump,In a way to show approval or support,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,"Yes, in a way to show approval or support",One favored candidate,,,,,Stephanie Bice,,,,,,,,,,,,,,,,Request for donations,,,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,Stephanie Bice,In a way to show approval or support,,,,,,,,,,,,,,,"Facial expressions (angry, sad, yelling, etc.)",Color (black and white/gray),,, ,No, ,, ,,,,,,, , ,, 
x_2705898016390657,13,achampeau@wesleyan.edu,, ,Text,,Still images(s),Link(s),,,,,,,,,,,,,,,,,,,,,,,,,,,, ,0,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, 
x_623377155216893,14,medward2@bowdoin.edu,, ,Text,Video(s),,Link(s),,,U.S. Senate,Martha McSally,In a way to show disaproval or opposition,President,Donald Trump,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,Martha McSally,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health/Healthcare,,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,,,,,,,,,,,,Abortion,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, 
x_2783290605291804,15,achampeau@wesleyan.edu,, ,Text,,Still images(s),Link(s),,,U.S. Senate,Steven Daines,In a way to show disaproval or opposition,U.S. Senate,Susan Collins,In a way to show disaproval or opposition,U.S. House,Jim Jordan,In a way to show disaproval or opposition,U.S. Senate,Lindsey Graham,In a way to show disaproval or opposition,U.S. Senate,Mitch McConnell,In a way to show disaproval or opposition,U.S. House,Matt Gaetz,In a way to show disaproval or opposition,U.S. House,Devin Nunes,In a way to show disaproval or opposition,U.S. Senate,John Cornyn,In a way to show disaproval or opposition,Check here if there are more than 8 federal candidates depicted in the ad. (writ,Donald Trump,99,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,"Yes, in a way to show approval or support","Yes, in a way to show disapproval or opposition",,,,Multiple targeted candidates,,,,,,,,,,Steven Daines,Susan Collins,Jim Jordan,Lindsey Graham,Mitch McConnell,Matt Gaetz,Devin Nunes,John Cornyn,Request for donations,,,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,Steven Daines,Unclear whether support or opposition,Susan Collins,Unclear whether support or opposition,Jim Jordan,Unclear whether support or opposition,Lindsey Graham,Unclear whether support or opposition,Mitch McConnell,Unclear whether support or opposition,Matt Gaetz,Unclear whether support or opposition,Devin Nunes,Unclear whether support or opposition,John Cornyn,Unclear whether support or opposition,,,,, ,No, ,, ,,,,,,, , ,, 
x_2706791346230199,16,zcabrerahern@wesleyan.edu,, ,Text,Video(s),,Link(s),,,,,,,,,,,,,,,,,,,,,,,,,,,, ,0,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, 
x_2658576201125356,17,achampeau@wesleyan.edu,, ,Text,Video(s),,Link(s),,,U.S. Senate,Joni Ernst,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,Joni Ernst,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,Economic Policy,,,,,Health/Healthcare,,,,,,,,,,,,,,,,Employment / Jobs,Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, 
x_1075052466226233,18,achampeau@wesleyan.edu,, ,Text,,Still images(s),Link(s),,,U.S. Senate,Lindsey Graham,In a way to show disaproval or opposition,U.S. Senate,Jaime Harrison,In a way to show approval or support,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,One targeted candidate,,,,Jaime Harrison,,,,,,,Lindsey Graham,,,,,,,,Request for donations,,,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,Lindsey Graham,In a way to show disaproval or opposition,Jaime Harrison,In a way to show approval or support,,,,,,,,,,,,,"Facial expressions (angry, sad, yelling, etc.)",Color (black and white/gray),,, ,No, ,, ,,,,,,, , ,, 
x_1003082646873424,19,medward2@bowdoin.edu,, ,Text,Video(s),,,,,Other national politician,Kamala Harris,In a way to show approval or support,President,Joe Biden,In a way to show approval or support,President,Donald Trump,In a way to show disaproval or opposition,U.S. House,Nancy Pelosi,Unclear whether support or opposition,U.S. Senate,Elizabeth Warren,Unclear whether support or opposition,,,,,,,,,,, ,5,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,"Yes, unclear whether in support or opposition",One favored candidate,,One targeted candidate,,,,Joe Biden,,,,,,,,,Donald Trump,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, 
x_635843450459470,20,achampeau@wesleyan.edu,, ,Text,,Still images(s),Link(s),,,Down-ballot candidate/governor,Down-ballot candidate/governor,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,, ,1,Mentioned in text of the ad,Pictured in image or video,,Mentioned in on-screen text of video or image,Randy Brock,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Down-ballot candidate/governor,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,Down-ballot candidate/governor,In a way to show approval or support,,,,,,,,,,,,,,,"Facial expressions (angry, sad, yelling, etc.)",,,, ,No, ,, ,,,,,,, , ,, 
x_241216730622807,21,achampeau@wesleyan.edu,, ,Text,,Still images(s),Link(s),,,President,Donald Trump,In a way to show disaproval or opposition,President,Joe Biden,In a way to show approval or support,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,One targeted candidate,,,,Joe Biden,,,,,,,Donald Trump,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Economic Policy,,Environment/Energy,,,,,,,,,,,,,,,,,,,Employment / Jobs,,,,,,,,,,,,,,,Global Warming / Climate Change,,Energy Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,Joe Biden,In a way to show approval or support,,,,,,,,,,,,,"Facial expressions (angry, sad, yelling, etc.)",,,, ,No, ,, ,,,,,,, , ,, 
x_1040647799710791,22,achampeau@wesleyan.edu,, ,Text,Video(s),,Link(s),,,U.S. Senate,Gary Peters,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Gary Peters,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,Economic Policy,,,,,Health/Healthcare,,,,,,,,,,,,,,,,Employment / Jobs,,,Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, 
x_398378014523406,23,achampeau@wesleyan.edu,, ,Text,Video(s),,Link(s),,,Down-ballot candidate/governor,Down-ballot candidate/governor,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,, ,1,Mentioned in text of the ad,Pictured in image or video,,Mentioned in on-screen text of video or image,Geraldine Thompson,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Down-ballot candidate/governor,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Environment/Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Environment (generic reference),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, 
