pd_id,ad_id,coder,adsponsortype,row,RecordedDate,NOCODE,NOCODE_TXT,TEXT,VIDEO,IMAGE,LINK,ADREMOVED,NODISCLAIMER,OFFICE1,CAND1,FECID1,TONE1,OFFICE2,CAND2,FECID2,TONE2,OFFICE3,CAND3,FECID3,TONE3,OFFICE4,CAND4,FECID4,TONE4,OFFICE5,CAND5,FECID5,TONE5,OFFICE6,CAND6,FECID6,TONE6,OFFICE7,CAND7,FECID7,TONE7,OFFICE8,CAND8,FECID8,TONE8,MORETHAN8,MORETHAN8_TXT,candnumber,othercand1_mnt,othercand1_pic,othercand1_audio,othercand1_ocr,othercand1_txt,othercand2_mnt,othercand2_pic,othercand2_audio,othercand2_ocr,othercand2_txt,othercand3_mnt,othercand3_pic,othercand3_audio,othercand3_ocr,othercand3_txt,othercand4_mnt,othercand4_pic,othercand4_audio,othercand4_ocr,othercand4_txt,othercand5_mnt,othercand5_pic,othercand5_audio,othercand5_ocr,othercand5_txt,DEMMT,GOPMT,FAVORED,MULTI_FAV,TARGETED,MULTI_TGT,NOCAND,FAV1,FAV2,FAV3,FAV4,FAV5,FAV6,FAV7,FAV8,TGT1,TGT2,TGT3,TGT4,TGT5,TGT6,TGT7,TGT8,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE,MENTION1,MENTION33,MENTION3,MENTION4,MENTION5,MENTION6,MENTION7,MENTION8,MENTION15,MENTION16,MENTION17,MENTION19,MENTION21,MENTION23,MENTIONCOMM,MENTIONNEIGH,MENTIONTOGETH,MENTION18,MENTION26,MENTIONWC,MENTIONMC,MENTIONUC,TOC_DRUGS,TOC_ECON,TOC_EDU,TOC_ENVT,TOC_ETHICS,TOC_FOREIGN,TOC_HEALTH,TOC_LAW,TOC_SOCIAL,TOC_OTHER,ISSUE210,ISSUE41,ISSUE54,ISSUE106,ISSUE44,ISSUE33,ISSUE22,ISSUE10,ISSUE11,ISSUE12,ISSUE13,ISSUE20,ISSUE18,ISSUE16,ISSUE217,ISSUE17,ISSUE14,ISSUE215,ISSUE23,ISSUE19,ISSUE15,ISSUE21,ISSUE24,ISSUE50,ISSUE51,ISSUE52,ISSUE80,ISSUE82,ISSUE113,ISSUE83,ISSUE84,ISSUE90,ISSUE91,ISSUE92,ISSUE60,ISSUE61,ISSUE62,ISSUE63,ISSUE64,ISSUE68,ISSUE69,ISSUE66,ISSUE67,ISSUE70,ISSUE71,ISSUE72,ISSUE73,ISSUE74,ISSUE75,ISSUE76,ISSUE65,ISSUE114,ISSUE53,ISSUE59,ISSUE58,ISSUE55,ISSUE110,ISSUE218,ISSUE219,ISSUE220,ISSUE208,ISSUE105,ISSUE116,ISSUE117,ISSUE209,ISSUE40,ISSUE45,ISSUE43,ISSUE42,ISSUE212,ISSUE221,ISSUE200,ISSUE95,ISSUE109,ISSUE30,ISSUE32,ISSUE37,GUNPIC,ISSUE108,ISSUE102,ISSUE56,ISSUE57,ISSUE112,ISSUE31,ISSUE101,ISSUE38,ISSUE39,ISSUE34,ISSUE35,ISSUE36,ISSUE107,ISSUE93,ISSUE111,ISSUE94,ISSUE96,ISSUE98,ISSUE99,ISSUE103,ISSUE104,ISSUE118,ISSUE97,ISSUE97_TXT,CAND1_pic,CAND1_pic_tone,CAND2_pic,CAND2_pic_tone,CAND3_pic,CAND3_pic_tone,CAND4_pic,CAND4_pic_tone,CAND5_pic,CAND5_pic_tone,CAND6_pic,CAND6_pic_tone,CAND7_pic,CAND7_pic_tone,CAND8_pic,CAND8_pic_tone,pic_face,pic_color,pic_otherpeople,pic_oth,pic_oth_txt,PAGENAME_INFO,PAGENAME_INFO_TXT,OTHERNOTES,OTHERNOTES_TXT,PROB_VID_NOCODE,PROB_VID_PARTIAL,PROB_DONTUSE,PROB_SPANISH,PROB_OTH,PROB_QUEST,PROB_OTH_TXT,PROB_QUEST_TXT,NOMINATE,NOMINATE_TXT,page_id,funding_entity,fbcodingset,rec_num,page_name,page_name_url,wmp_office_post090120,wmp_spontype,sponsor_name
,x_636224157038277,swoodhams@wesleyan.edu,not classified,1890,13 Sep 21,, ,Text,,Still images(s),Link(s),,"""Ad ran without a disclaimer""",Down-ballot candidate/governor,Down-ballot candidate/governor,,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,Mentioned in text of the ad,Pictured in image or video,,Mentioned in on-screen text of video or image,Brett Miller,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Down-ballot candidate/governor,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,Economic Policy,,,,,Health/Healthcare,,,"Other/Miscellaneous
(includes: Term Limits, Pledge of Allegiance, Local Issues,",,,,,,,Economy (generic reference),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emergency Preparedness/Response,,,, ,Down-ballot candidate/governor,Unclear whether support or opposition,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_601201683283584,Miller Victory Committee,Set of 3K non-cd ads,1224,,https://www.facebook.com/601201683283584,,,
,x_1861671210639748,oramseur@wesleyan.edu,not classified,1078,21 Aug 21,, ,Text,,Still images(s),Link(s),,,Other national politician,Kamala Harris,WMPID2,In a way to show approval or support,President,Joe Biden,P80000722,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,,Joe Biden,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Economic Policy,,Environment/Energy,,,Health/Healthcare,,Social/Social Welfare Issues,,,,,,,,,,,,Recession / Economic Stimulus,,Employment / Jobs,,,Union,,,,,,,,,,,,Global Warming / Climate Change,,,,,,,,,,,,,,,,,,,,,,,,,Health Care (not prescription drugs),,,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,No,No,,,,,,,,,,,,,,,,,,,,,,Civil Rights/Racial Discrimination,,,,,,,,,,,,,,, ,,,Joe Biden,In a way to show approval or support,,,,,,,,,,,,,"Facial expressions (angry, sad, yelling, etc.)",,,, ,No, ,, ,,,,,,, , ,, ,x_344690446467832,"Courier Newsroom, Inc.",Set of 3K non-cd ads,931,,https://www.facebook.com/344690446467832,,,
,x_3697632020247808,achampeau@wesleyan.edu,not classified,466,10 Aug 21,, ,Text,,Still images(s),Link(s),,,Down-ballot candidate/governor,Down-ballot candidate/governor,,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,Mentioned in text of the ad,Pictured in image or video,,Mentioned in on-screen text of video or image,Jennifer Skidonenko,,,,, ,,,,, ,,,,, ,,,,, ,"Yes, in a way to show approval or support",No,One favored candidate,,,,,Down-ballot candidate/governor,,,,,,,,,,,,,,,,,,,GOTV efforts (get out the vote),,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Education/Child Care/Family Leave,,,,Health/Healthcare,,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,Education/Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medicaid,,,,,,,,,,,,,,,,,,,,Guns,,,,,,,,,,,,,,,,,,,,,,,,, ,Down-ballot candidate/governor,Unclear whether support or opposition,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_361707730528114,Young Democrats of Denton County,Set of 3K non-cd ads,738,,https://www.facebook.com/361707730528114,,,
,x_1029611600811427,oramseur@wesleyan.edu,not classified,696,15 Aug 21,, ,Text,,Still images(s),Link(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,0,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_109866370700481,PushBlack,Set of 3K non-cd ads,963,,https://www.facebook.com/109866370700481,,,
,x_770579567100473,oramseur@wesleyan.edu,not classified,1391,24 Aug 21,, ,Text,,Still images(s),Link(s),,,Down-ballot candidate/governor,Down-ballot candidate/governor,,In a way to show disaproval or opposition,Down-ballot candidate/governor,Down-ballot candidate/governor,,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,Mentioned in text of the ad,Pictured in image or video,,Mentioned in on-screen text of video or image,Phillip Chen,Mentioned in text of the ad,,,,Andrew Rodriquez,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,One targeted candidate,,,,Down-ballot candidate/governor,,,,,,,Down-ballot candidate/governor,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abortion,,,,,,,,,,,,,,,,,,,,,,,,,,, ,Down-ballot candidate/governor,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,Color (black and white/gray),,, ,No, ,, ,,,,,,, , ,, ,x_2485498344825393,Andrew Rodriguez for Assembly 2020 ID# 1415241,Set of 3K non-cd ads,1108,,https://www.facebook.com/2485498344825393,,,
,x_1090289571403671,zcabrerahern@wesleyan.edu,not classified,497,11 Aug 21,, ,Text,,Still images(s),Link(s),,,President,Donald Trump,P80001571,Unclear whether support or opposition,President,Joe Biden,P80000722,Unclear whether support or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,,,No favored or targeted candidate,,,,,,,,,,,,,,,,,,,,,,Asks the viewer to fill out a survey/poll,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_101183127996396,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",Set of 3K non-cd ads,518,,https://www.facebook.com/101183127996396,,,
,x_387968452337295,swoodhams@wesleyan.edu,not classified,1343,24 Aug 21,, ,Text,Video(s),,Link(s),,"""Ad ran without a disclaimer""",President,Donald Trump,P80001571,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,Donald Trump,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Environment/Energy,,,Health/Healthcare,,,"Other/Miscellaneous
(includes: Term Limits, Pledge of Allegiance, Local Issues,",,,,,,,,,,,,,,,,,,,,,,,,,,,,Global Warming / Climate Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emergency Preparedness/Response,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_171287339973880,"LCV Victory Fund, 202-785-8683, and not authorized by any candidate or candidate’s committee",Set of 3K non-cd ads,624,,https://www.facebook.com/171287339973880,,,
,x_266883348084055,swoodhams@wesleyan.edu,not classified,2159,21 Sep 21,, ,Text,,Still images(s),Link(s),,"""Ad ran without a disclaimer""",U.S. House,Genevieve Collins,H0TX32087,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Genevieve Collins,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,Economic Policy,,,,,,,Social/Social Welfare Issues,,,,,,,,,Taxes,,,,,Employment / Jobs,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guns,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_102728921611138,Conservatives Acting Together,Set of 3K non-cd ads,2060,,https://www.facebook.com/102728921611138,,,
,x_609468009750276,oramseur@wesleyan.edu,not classified,1400,24 Aug 21,, ,Text,,Still images(s),Link(s),,,President,Donald Trump,P80001571,Unclear whether support or opposition,U.S. House,Nancy Pelosi,H8CA05035,Unclear whether support or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,,,No favored or targeted candidate,,,,,,,,,,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,Economic Policy,,,,,,,,,,,,,,,,,,,Recession / Economic Stimulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_984421991732710,Paycheckology,Set of 3K non-cd ads,1690,,https://www.facebook.com/984421991732710,,,
,x_1002295270233534,swoodhams@wesleyan.edu,not classified,1849,13 Sep 21,, ,Text,,Still images(s),Link(s),"""Ad violates FB's advertising polciies""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,0,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_868818206524818,NA,Set of 3K non-cd ads,1228,,https://www.facebook.com/868818206524818,,,
,x_1016607555449995,achampeau@wesleyan.edu,not classified,1637,29 Aug 21,, ,Text,Video(s),,Link(s),,,President,Joe Biden,P80000722,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Joe Biden,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Economic Policy,,,,,Health/Healthcare,,,,,,,,,,Economy (generic reference),,,,,,,Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_106667474170866,"A Better Wisconsin Together, Inc.",Set of 3K non-cd ads,994,,https://www.facebook.com/106667474170866,,,
,x_2624540880979876,ycompres@wesleyan.edu,not classified,316,09 Aug 21,, ,Text,Video(s),,Link(s),,,President,Donald Trump,P80001571,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Donald Trump,,,,,,,,,,,,,,,,,,Selling of merchandise,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_2352630938293825,Entremax,Set of 3K non-cd ads,172,,https://www.facebook.com/2352630938293825,,,
,x_647771172792335,zcabrerahern@wesleyan.edu,not classified,2865,10 Oct 21,, ,Text,,Still images(s),Link(s),,,President,Donald Trump,P80001571,In a way to show approval or support,Other national politician,Mike Pence,WMPID1,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,,,No favored or targeted candidate,,,,,,,,,,,,,,,,,,,Selling of merchandise,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,Donald Trump,In a way to show approval or support,Mike Pence,In a way to show approval or support,,,,,,,,,,,,,,Color (black and white/gray),,, ,No, ,, ,,,,,,, , ,, ,x_101705764879487,Particle Media,Set of 3K non-cd ads,2385,,https://www.facebook.com/101705764879487,,,
,x_1190581087978685,zcabrerahern@wesleyan.edu,not classified,2342,27 Sep 21,, ,Text,,Still images(s),Link(s),,,President,Joe Biden,P80000722,In a way to show approval or support,President,Donald Trump,P80001571,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,One targeted candidate,,,Joe Biden,,,,,,,,,Donald Trump,,,,,,,,,Selling of merchandise,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,Joe Biden,In a way to show approval or support,,,,,,,,,,,,,,,,Color (black and white/gray),,, ,No, ,, ,,,,,,, , ,, ,x_110588273989071,Joes Joe LLC,Set of 3K non-cd ads,1739,,https://www.facebook.com/110588273989071,,,
,x_1059033361214199,swoodhams@wesleyan.edu,not classified,275,08 Aug 21,, ,Text,Video(s),,Link(s),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,0,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_105455840860559,Eagle Realm,Set of 3K non-cd ads,334,,https://www.facebook.com/105455840860559,,,
,x_1024354814689064,swoodhams@wesleyan.edu,not classified,2138,20 Sep 21,, ,Text,Video(s),,Link(s),,"""Ad ran without a disclaimer""",President,Donald Trump,P80001571,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,Donald Trump,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Education/Child Care/Family Leave,,,Foreign/Defense Policy,Health/Healthcare,,,"Other/Miscellaneous
(includes: Term Limits, Pledge of Allegiance, Local Issues,",,,,,,,,,,,,,,,,,,,,,,,,Education/Schools,,,,,,,,,,,,,Veterans,,,,,,,,,,,,,,,,,,,,,,,,Outbreaks of infectious disease (incl. Coronavirus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Emergency Preparedness/Response,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_104934207736995,Center for American Progress Action Fund,Set of 3K non-cd ads,2035,,https://www.facebook.com/104934207736995,,,
,x_1022651908208592,swoodhams@wesleyan.edu,not classified,3227,31 Oct 21,, ,Text,,Still images(s),Link(s),,"""Ad ran without a disclaimer""",President,Donald Trump,P80001571,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,"Yes, in a way to show approval or support",No,,,One targeted candidate,,,,,,,,,,,Donald Trump,,,,,,,,,,,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law & Order,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supreme Court/Judiciary,,,,,,,Abortion,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_248833449184369,ACRONYM,Set of 3K non-cd ads,2518,,https://www.facebook.com/248833449184369,,,
,x_349004773011269,zcabrerahern@wesleyan.edu,not classified,3275,07 Nov 21,, ,Text,,Still images(s),Link(s),,,President,Donald Trump,P80001571,In a way to show approval or support,Other national politician,Mike Pence,WMPID1,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,, ,2,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,,Multiple targeted candidates,,,,,,,,,,Donald Trump,Mike Pence,,,,,,,,,Selling of merchandise,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_884608308247144,Armadillo Hat Company,Set of 3K non-cd ads,2425,,https://www.facebook.com/884608308247144,,,
,x_352759652575681,mchurch@wesleyan.edu,not classified,2809,10 Oct 21,, ,Text,Video(s),,Link(s),,,U.S. House,Cindy Axne,H8IA03124,In a way to show disaproval or opposition,U.S. House,Nancy Pelosi,H8CA05035,In a way to show disaproval or opposition,President,Joe Biden,P80000722,In a way to show disaproval or opposition,Other national politician,Kamala Harris,WMPID2,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,, ,4,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,Cindy Axne,,,,,,,,,Request for viewer to contact a legislator,,,,,,Invite the viewer to learn more about a group/candidate,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law & Order,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Police/police brutality/Racial Violence,Protests/riots,,,,,,Guns,Gun pictured in ad,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_514193775271504,Iowa Gun Owners,Set of 3K non-cd ads,2335,,https://www.facebook.com/514193775271504,,,
,x_2726495184255984,achampeau@wesleyan.edu,not classified,3253,05 Nov 21,, ,Text,Video(s),,Link(s),,,U.S. Senate,Steve Bullock,S0MT00173,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,Steve Bullock,,,,,,,,,,,,,,,Invite the viewer to learn more about a group/candidate,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,Foreign/Defense Policy,,Law & Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,Immigration,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_100053898949,MONTANA REPUBLICAN STATE CENTRAL COMMITTEE,Set of 3K non-cd ads,2728,,https://www.facebook.com/100053898949,,,
,x_1687660138065316,swoodhams@wesleyan.edu,not classified,3042,27 Oct 21,, ,Text,,Still images(s),Link(s),,"""Ad ran without a disclaimer""",President,Donald Trump,P80001571,In a way to show approval or support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,One favored candidate,,,,,Donald Trump,,,,,,,,,,,,,,,,,,,,,,Solicitation of viewers' email/name/information (other than a poll),Invite the viewer to learn more about a group/candidate,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law & Order,Social/Social Welfare Issues,"Other/Miscellaneous
(includes: Term Limits, Pledge of Allegiance, Local Issues,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supreme Court/Judiciary,,,,,,,Abortion,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_2309566456030859,Human Coalition Action,Set of 3K non-cd ads,2491,,https://www.facebook.com/2309566456030859,,,
,x_243473936969344,achampeau@wesleyan.edu,not classified,1541,27 Aug 21,, ,Text,,Still images(s),Link(s),,,President,Joe Biden,P80000722,Unclear whether support or opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,,,No favored or targeted candidate,,,,,,,,,,,,,,,,,,,,,,,,,"No, primary goal is something else",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Law & Order,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Police/police brutality/Racial Violence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,Joe Biden,Unclear whether support or opposition,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_102540204580217,"Courier Newsroom, Inc.",Set of 3K non-cd ads,1466,,https://www.facebook.com/102540204580217,,,
,x_350573789490303,tzarobell@wesleyan.edu,not classified,4152,20 Dec 21,, ,Text,Video(s),,,,,President,Donald Trump,P80001571,In a way to show disaproval or opposition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,1,,,,, ,,,,, ,,,,, ,,,,, ,,,,, ,No,No,,,One targeted candidate,,,,,,,,,,,Donald Trump,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Social/Social Welfare Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gender Discrimination (not LGBTQ),,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,, ,No, ,, ,,,,,,, , ,, ,x_385628488916063,Daniel Milo Giat,Set of 3K non-cd ads,2815,,https://www.facebook.com/385628488916063,,,
