advertiser_id,advertiser_namex,advertiser_name,public_ids_list,date_wmpcoded,search_status,sponsor_name,sponsor_cmag,wmp_spontype,wmp_govtorcand,wmp_grouptype,wmp_groupflag,wmp_multisponsor,wmp_office,ontv2022,cand_fav,wmpid,sen_fecid,sen_cycle,sen_state,sen_party,sen_cdstatus,hse_fecid,hse_cycle,hse_state,hse_district,hse_party,hse_cdstatus,db_state,wmp_sen,wmp_hse,wmp_gov,wmp_db,type_cmag,type_scsp,wmptempid,wmp_spontype_new,search_status_new,party_all_new,regions,elections,party_all,Party_abbrev,wmp_notes,advertiser_namey,COMMID,EIN,Committee_Name,Jurisdiction,per_Website,com_Website,R_type,N_type,FirstLast,Prefix,Firstname,MiddleName,Lastname,Suffix,Party_Name,disclose,vw_pt,advertiser_name63,s_09042022to111122,s_011021to111222,codedbywmp,onlycodedbyOS,onlyingooglespend,updated_011725,unmatchedv2,cand_id,notes,matchto_adidmap,old_name,new_name,matchto_oldadidmap,source,cmag_sponsor,wmp_candidate,cmte_id,cmte_nm,advertiser_id_tomerge,advertiser_ids
AR03732806310891094017,NA,FOR MT HOUSE OF REPRESENTATIVES DISTRICT 41,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,FOR MT HOUSE OF REPRESENTATIVES DISTRICT 41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,FOR MT HOUSE OF REPRESENTATIVES DISTRICT 41,1200,1200,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR03732806310891094017,AR03732806310891094017
AR03733334901106147329,NA,SAVE AMERICA FUND,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,REP,,,SAVE AMERICA FUND,C00732172,NA,Save America Fund,US,NA,https://www.fec.gov/data/committee/C00732172,Independent expenditure-only (Super PACs),Independent Spender,NA,NA,NA,NA,NA,NA,,P,L,SAVE AMERICA FUND,62400,62400,,1,,1,,,,Master only (1),,,Master only (1),,SAVE AMERICA FUND,,,,AR03733334901106147329,AR03733334901106147329
AR03738793495301718017,BOHMER4SENATE,BOHMER4SENATE,EIN ID 88-1831180,04oct2022,NA,BOHMER,BOHMER,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,1,0,0,1096,campaign,NA,,NA,NA,,,,BOHMER4SENATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,BOHMER4SENATE,1600,1600,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR03738793495301718017,AR03738793495301718017
AR03738828404795899905,"Sutton & Smart Campaigns, LLC","Sutton & Smart Campaigns, LLC",EIN ID 87-1885314,31oct2022,NA,"SUTTON & SMART CAMPAIGNS, LLC",NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2943,group,NA,,US,NA,,,,"Sutton & Smart Campaigns, LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,"Sutton & Smart Campaigns, LLC",1400,3700,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03738828404795899905,AR03738828404795899905|AR291612164681105408
AR03740494096192503809,NA,John Klar,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,John Klar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,John Klar,200,200,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR03740494096192503809,AR03740494096192503809
AR03741285744564502529,NA,Jennifer White,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Jennifer White,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Jennifer White,300,300,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR03741285744564502529,AR03741285744564502529
AR03742966691684941825,NA,ILLINOIS ENVIRONMENTAL COUNCIL,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,ILLINOIS ENVIRONMENTAL COUNCIL,NA,370989990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,ILLINOIS ENVIRONMENTAL COUNCIL,0,200,,1,,1,,,,Matched (3),,,Master only (1),,,,,,AR03742966691684941825,AR03742966691684941825|AR261736166011699200
AR03746807285800763393,Ra√∫l R. Labrador,Ra√∫l R. Labrador,Registered in US-ID,17oct2022,NA,"LABRADOR, RAUL","LABRADOR, RAUL",campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,ID,0,0,0,1,0,0,2242,campaign,NA,,NA,NA,,,,Ra√∫l R. Labrador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Ra√∫l R. Labrador,200,2300,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03746807285800763393,AR03746807285800763393|AR249280417255915520
AR03749722091125997569,NA,OMURA FOR NEW YORK,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,OMURA FOR NEW YORK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,OMURA FOR NEW YORK,0,300,,1,,1,,,,Matched (3),,,Master only (1),,,,,,AR03749722091125997569,AR03749722091125997569|AR207902977204158464
AR03767601249705263105,Catherine G Huddle,Catherine G Huddle,NA,17oct2022,NA,CATHERINE G HUDDLE,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2094,unclear could be campaign,NA,,NA,NA,,,,Catherine G Huddle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Catherine G Huddle,0,600,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03767601249705263105,AR03767601249705263105|AR425146752362872832
AR03767736489635479553,"S&A HOLDINGS (2013), LLC","S&A HOLDINGS (2013), LLC",EIN ID 52-2325813,17oct2022,NA,"S&A HOLDINGS (2013), LLC",NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,1752,group,NA,,NA,NA,,,,"S&A HOLDINGS (2013), LLC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,"S&A HOLDINGS (2013), LLC",0,2800,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03767736489635479553,AR03767736489635479553|AR452316715477368832
AR03768101802373808129,ADRIAN GARCIA FOR HARRIS COUNTY COMMISSIONER PRECINCT 2,ADRIAN GARCIA FOR HARRIS COUNTY COMMISSIONER PRECINCT 2,EIN ID 82-5064707,31oct2022,NA,ADRIAN GARCIA FOR HARRIS COUNTY COMMISSIONER PRECINCT 2,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,1,0,0,3042,campaign,NA,,US,NA,DEM,,,ADRIAN GARCIA FOR HARRIS COUNTY COMMISSIONER PRECI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,ADRIAN GARCIA FOR HARRIS COUNTY COMMISSIONER PRECINCT 2,2400,36600,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03768101802373808129,AR03768101802373808129|AR3800702459576320
AR03773731301908021249,SMP,SMP,FEC ID C00484642,17oct2022,NA,SMP,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,1315,group,NA,,NA,NA,DEM,,,SMP,C00484642,NA,Smp,US,NA,https://www.fec.gov/data/committee/C00484642,Independent expenditure-only (Super PACs),Independent Spender,NA,NA,NA,NA,NA,NA,,P,L,SMP,2226900,3025400,1,,,,,,,Matched (3),C00484642,SMP,Matched (3),,,,,,AR03773731301908021249,AR03773731301908021249|AR463536510084317184
AR03778198548932198401,NA,CARPINO2022,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,CARPINO2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CARPINO2022,1300,1300,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR03778198548932198401,AR03778198548932198401
AR03785750888144961537,Sig for Senate,Sig for Senate,Registered in US-NJ,02sep2022,NA,"SIGNORELLO, JOE","SIGNORELLO, JOE",campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NJ,0,0,0,1,0,0,179,NA,NA,,NA,NA,,,,Sig for Senate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Sig for Senate,0,20200,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03785750888144961537,AR03785750888144961537|AR347541778565431296
AR03789493900603817985,The Oklahoma Project,The Oklahoma Project,NA,02sep2022,1,THE OKLAHOMA PROJECT,THE OKLAHOMA PROJECT,group,0,NA,1,0,,1,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,0,1,0,28,NA,NA,,NA,NA,DEM,,,The Oklahoma Project,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,The Oklahoma Project,0,81100,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03789493900603817985,AR03789493900603817985|AR187103996777857024
AR03792506287586017281,REP. GLENN GROTHMAN - U.S. HOUSE OF REPRESENTATIVES,REP. GLENN GROTHMAN - U.S. HOUSE OF REPRESENTATIVES,EIN ID 53-6002523,17oct2022,NA,"GROTHMAN, GLENN S.","GROTHMAN, GLENN S.",government official,1,NA,0,0,us house,NA,"GROTHMAN, GLENN S.",WMPID941,,NA,NA,,NA,H4WI06048,2022,WI,6,REP,INCUMBENT,NA,0,1,0,NA,0,0,2488,government official,NA,,NA,NA,REP,,,REP. GLENN GROTHMAN - U.S. HOUSE OF REPRESENTATIVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,REP. GLENN GROTHMAN - U.S. HOUSE OF REPRESENTATIVES,0,1200,1,,,,,H4WI06048,,Matched (3),,,Master only (1),,,,,,AR03792506287586017281,AR03792506287586017281|AR309747440750166016
AR03793765228399820801,Lisa Rave for Senate,Lisa Rave for Senate,EIN ID 87-4773855,02sep2022,NA,"RAVE, LISA","RAVE, LISA",campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,SD,0,0,0,1,0,0,289,NA,NA,,NA,NA,,,,Lisa Rave for Senate,NA,NA,"Rave, Lisa",NA,NA,NA,NA,NA,NA,NA,Lisa,NA,Rave,NA,,NA,NA,Lisa Rave for Senate,0,400,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03793765228399820801,AR03793765228399820801|AR37362195385810944
AR03795821521302192129,NA,CARBON NEUTRAL COALITION INC,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,CARBON NEUTRAL COALITION INC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,CARBON NEUTRAL COALITION INC,9900,9900,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR03795821521302192129,AR03795821521302192129
AR03796117083771633665,GREG CHANEY,GREG CHANEY,NA,17oct2022,NA,GREG CHANEY,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,1264,unclear could be campaign,NA,,NA,NA,,,,GREG CHANEY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,GREG CHANEY,0,1900,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03796117083771633665,AR03796117083771633665|AR513106411274633216
AR03801378246910541825,NA,COMMITTEE TO ELECT SCOTT BLACK,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,COMMITTEE TO ELECT SCOTT BLACK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,COMMITTEE TO ELECT SCOTT BLACK,0,900,,1,,1,,,,Matched (3),,,Master only (1),,,,,,AR03801378246910541825,AR03801378246910541825|AR509527122969100288
AR03803911521700937729,Jeffrey D Davis,Jeffrey D Davis,NA,17oct2022,NA,JEFFREY D DAVIS,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,1321,unclear could be campaign,NA,,NA,NA,,,,Jeffrey D Davis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Jeffrey D Davis,0,300,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03803911521700937729,AR03803911521700937729|AR390845425550098432
AR03806017086468128769,TURNING POINT ACTION,TURNING POINT ACTION,FEC ID C90019597,31oct2022,NA,TURNING POINT ACTION,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,3209,group,NA,,US,NA,,,,Olympic Media,C90019597,463721348,Turning Point Action,US,NA,https://www.fec.gov/data/committee/C90019597,Independent expenditor (person or group),Independent Spender,NA,NA,NA,NA,NA,NA,,N,C,TURNING POINT ACTION,0,2600,1,,,,,,,Matched (3),TURNING POINT ACTION,Olympic Media,Matched (3),,,,,,AR03806017086468128769,AR03806017086468128769|AR556213176958451712
AR03813066055513800705,NORTH STAR PROSPERITY,NORTH STAR PROSPERITY,EIN ID 86-2157002,31oct2022,NA,NORTH STAR PROSPERITY,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,3139,group,NA,,US,NA,,,,NORTH STAR PROSPERITY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NORTH STAR PROSPERITY,100,17900,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR03813066055513800705,AR03813066055513800705
AR03814263698554355713,REPUBLICAN PARTY OF CUYAHOGA COUNTY,REPUBLICAN PARTY OF CUYAHOGA COUNTY,EIN ID 34-0710938,17oct2022,NA,REPUBLICAN PARTY OF CUYAHOGA COUNTY,NA,party,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,1443,party,NA,,NA,NA,REP,REP,,REPUBLICAN PARTY OF CUYAHOGA COUNTY,C00452482,NA,Republican Party Of Cuyahoga County Federal Campaign Committee,US,NA,https://www.fec.gov/data/committee/C00452482,Party - qualified,Party,NA,NA,NA,NA,NA,NA,Republican,Y,C,REPUBLICAN PARTY OF CUYAHOGA COUNTY,0,800,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03814263698554355713,AR03814263698554355713|AR151510400205062144
AR03815086064532455425,Judge Jill Flagg Lanzinger,Judge Jill Flagg Lanzinger,EIN ID 88-2036121,31oct2022,NA,JUDGE JILL FLAGG LANZINGER,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,3320,group,NA,,US,NA,,,,Judge Jill Flagg Lanzinger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Judge Jill Flagg Lanzinger,23100,23100,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR03815086064532455425,AR03815086064532455425
AR03819420339369148417,Brandon Elefante,Brandon Elefante,NA,17oct2022,NA,BRANDON ELEFANTE,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2406,unclear could be campaign,NA,,NA,NA,,,,Brandon Elefante,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Brandon Elefante,600,700,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR03819420339369148417,AR03819420339369148417
AR03821779685163925505,NA,COMMITTEE TO ELECT DANIELLE ALLEN,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,governor,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,DEM,,,COMMITTEE TO ELECT DANIELLE ALLEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,COMMITTEE TO ELECT DANIELLE ALLEN,0,700,,1,,1,,,,Matched (3),,,Master only (1),,,,,,AR03821779685163925505,AR03821779685163925505|AR317227555792879616
AR03828759591135477761,NA,Elect Dennis Hisey,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,REP,REP,,Elect Dennis Hisey,NA,NA,Elect Dennis Hisey,CO,https://www.followthemoney.org/entity-details?eid=44884983,NA,State Upper Chamber,Candidate,NA,NA,Dennis,NA,Hisey,NA,Republican,NA,NA,Elect Dennis Hisey,3600,3600,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR03828759591135477761,AR03828759591135477761
AR03836947929105432577,NA,Lunario Media LLC,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,LUNARIO MEDIA LLC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Lunario Media LLC,14000,14000,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR03836947929105432577,AR03836947929105432577
AR03839743712296960001,Re-elect Ken Cooley for Assembly 2022,Re-elect Ken Cooley for Assembly 2022,Registered in US-CA 1435371,17oct2022,NA,RE-ELECT KEN COOLEY FOR ASSEMBLY 2022,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,CA,0,0,0,1,0,0,2344,campaign,NA,,NA,NA,,,,Re-elect Ken Cooley for Assembly 2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Re-elect Ken Cooley for Assembly 2022,84700,84700,1,,,,,,,Master only (1),,,Master only (1),,,,,,AR03839743712296960001,AR03839743712296960001
AR03839794083673407489,ORGANIZATION OF IRANIAN AMERICAN COMMUNITIES OIAC INC,ORGANIZATION OF IRANIAN AMERICAN COMMUNITIES OIAC INC,EIN ID 46-2061340,17oct2022,NA,ORGANIZATION OF IRANIAN AMERICAN COMMUNITIES OIAC INC,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2006,group,NA,,NA,NA,,,,ORGANIZATION OF IRANIAN AMERICAN COMMUNITIES OIAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,ORGANIZATION OF IRANIAN AMERICAN COMMUNITIES OIAC INC,0,5700,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03839794083673407489,AR03839794083673407489|AR563210984353693696
AR03842045883487092737,MARIAN MATTHEWS FOR HD27,MARIAN MATTHEWS FOR HD27,EIN ID 84-3178321,31oct2022,NA,MARIAN MATTHEWS FOR HD27,NA,campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NM,0,0,0,1,0,0,3082,campaign,NA,,US,NA,,,,MARIAN MATTHEWS FOR HD27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,MARIAN MATTHEWS FOR HD27,1700,1700,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03842045883487092737,AR03842045883487092737|AR27184669082517504
AR03844217625110380545,NA,Oregon Sportsmen Opposed to Gun Violence; Vote NO on 114,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,ballot measure,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Oregon Sportsmen Opposed to Gun Violence; Vote NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Oregon Sportsmen Opposed to Gun Violence; Vote NO on 114,600,600,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR03844217625110380545,AR03844217625110380545
AR03845788895945949185,CHANGE FOR ARIZONA 2024 PAC,CHANGE FOR ARIZONA 2024 PAC,FEC ID C00782508,31oct2022,NA,CHANGE FOR ARIZONA 2024 PAC,NA,group,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,AZ,0,0,0,NA,0,0,2920,group,NA,,US,NA,,,,CHANGE FOR ARIZONA 2024 PAC,C00782508,NA,Change for Arizona 2024 PAC,US,NA,https://www.fec.gov/data/committee/C00782508,Independent expenditure-only (Super PACs),Independent Spender,NA,NA,NA,NA,NA,NA,,P,L,CHANGE FOR ARIZONA 2024 PAC,1000,18500,1,,,,,,,Matched (3),,,Master only (1),,CHANGE FOR ARIZONA 2024 PAC,,,,AR03845788895945949185,AR03845788895945949185|AR344507676228583424
AR03851053082741833729,BUTCH FOR GEORGIA INC.,BUTCH FOR GEORGIA INC.,EIN ID 86-3883399,31oct2022,NA,"MILLER, BUTCH","MILLER, BUTCH",campaign,1,NA,0,0,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,GA,0,0,0,1,0,0,3421,campaign,NA,,US,NA,,,,BUTCH FOR GEORGIA INC.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,BUTCH FOR GEORGIA INC.,0,40500,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03851053082741833729,AR03851053082741833729|AR309151093131051008
AR03854395598090272769,NA,JASON KNOPP,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,JASON KNOPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,JASON KNOPP,0,700,,1,,1,,,,Matched (3),,,Master only (1),,,,,,AR03854395598090272769,AR03854395598090272769|AR48906517721645056
AR03857808482182889473,Jordan Shilling,Jordan Shilling,NA,17oct2022,NA,JORDAN SHILLING,NA,unclear could be campaign,0,NA,0,0,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,0,0,0,NA,0,0,2432,unclear could be campaign,NA,,NA,NA,,,,Jordan Shilling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Jordan Shilling,0,100,1,,,,,,,Matched (3),,,Master only (1),,,,,,AR03857808482182889473,AR03857808482182889473|AR47466020050305024
AR03857878782207590401,NA,FRIENDS OF BARGER FOR LEGISLATURE,NA,NA,NA,NA,NA,campaign,NA,NA,NA,NA,down ballot,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,FRIENDS OF BARGER FOR LEGISLATURE,NA,NA,"Barger, Russ",NA,NA,NA,NA,NA,NA,NA,Russ,NA,Barger,NA,,NA,NA,FRIENDS OF BARGER FOR LEGISLATURE,7400,7400,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR03857878782207590401,AR03857878782207590401
AR03859185002021388289,NA,Opportunity ATX PAC,NA,NA,NA,NA,NA,group,NA,NA,NA,NA,,NA,NA,NA,,NA,NA,,NA,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,,,,Opportunity ATX PAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Opportunity ATX PAC,7700,7700,,1,,1,,,,Master only (1),,,Master only (1),,,,,,AR03859185002021388289,AR03859185002021388289
AR03860425594734903297,Doctor Oz for Senate,Doctor Oz for Senate,FEC ID C00795930,02sep2022,NA,"OZ, MEHMET DR","OZ, MEHMET",campaign,1,NA,0,0,us senate,NA,"OZ, MEHMET DR",WMPID1790,S2PA00638,NA,PA,REP,OPEN,,NA,NA,NA,,NA,NA,1,0,0,NA,0,0,158,NA,NA,,NA,NA,REP,REP,,Doctor Oz for Senate,C00795930,NA,Doctor Oz for Senate,US,https://www.fec.gov/data/candidate/S2PA00638/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00795930,Senate,Candidate,NA,NA,Mehmet,NA,Oz,NA,Republican,NA,NA,Doctor Oz for Senate,826500,1193300,1,,,,,S2PA00638,,Matched (3),,,Master only (1),,,,,,AR03860425594734903297,AR03860425594734903297|AR547802084804657152
AR03868306894082801665,"RON JOHNSON FOR SENATE, INC.","Ron Johnson for Senate, INC.",FEC ID C00482984,02sep2022,1,"JOHNSON, RON HAROLD MR.","JOHNSON, RON",campaign,1,NA,0,0,us senate,NA,NA,WMPID1450,S0WI00197,NA,WI,REP,INCUMBENT,,NA,NA,NA,,NA,NA,1,0,0,0,0,0,314,NA,NA,,NA,NA,REP,REP,,"RON JOHNSON FOR SENATE, INC.",C00482984,NA,"Ron Johnson for Senate, Inc.",US,https://www.fec.gov/data/candidate/S0WI00197/?cycle=2022&election_full=false&tab=about-candidate,https://www.fec.gov/data/committee/C00482984,Senate,Candidate,NA,NA,Ron,NA,Johnson,NA,Republican,NA,NA,"Ron Johnson for Senate, INC.",505300,943900,1,,,,,S0WI00197,,Matched (3),,,Master only (1),,,,,,AR03868306894082801665,AR03868306894082801665|AR478681836080332800
