advertiser_id,advertiser_name,wmp_office,wmp_spontype,wmp_spontype_new,wmpid,cand_id
AR10849654600256978945,PROGRESSNOW NEW MEXICO,,group,group,,
AR15876754803355811841,Vicky For Governor,governor,campaign,campaign,,
AR11083834084298850305,ANN WAGNER FOR CONGRESS,us house,campaign,,WMPID812,H2MO02102
AR13999914843021246465,MAKING A BETTER TOMORROW,,group,group,,
AR10190646363230830593,Josh Riley for Congress,us house,campaign,,WMPID1629,H8NY22177
AR07897267967585419265,South Carolinas Conservative Future,,group,group,,
AR15152998525593190401,PAT RYAN FOR CONGRESS,us house,campaign,,WMPID2619,H8NY19223
AR06881131207032045569,DEFEAT BY TWEET,,group,group,,
AR06197369664729776129,VETERANS FOR VICTORY INC,,group,group,,
AR08374295760220454913,SANTIAGO COMMITTEE,down ballot,campaign,campaign,,
AR17902675552435699713,Aliso Parents for School Improvements 2022,,group,group,,
AR11011776490260922369,REP. LEE ZELDIN - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,,H8NY01148
AR03011680958295310337,TITUS FOR CONGRESS,us house,campaign,,WMPID1187,H8NV03036
AR09754511607056039937,C&B Printing Co Inc,,group,group,,
AR13051907121459757057,RASOUL WORKS FOR VIRGINIA,down ballot,campaign,campaign,,
AR14226185539924525057,Rousseau 4 SRP,down ballot,campaign,campaign,,
AR14350435026787631105,Josh Green for Hawaii,governor,campaign,campaign,,
AR00260923592559034369,BEDFORD 360 LLC,,group,group,,
AR16569218430436114433,SPORTS AND CUSTOM TEES INC,,group,group,,
AR08226262943495356417,Arkoosh for Idaho Attorney General,down ballot,campaign,campaign,,
AR05629974935553179649,BRADLEY ROBERTS,,unclear could be campaign,unclear could be campaign,,
AR01071171028375306241,PEKAU FOR CONGRESS,us house,campaign,,WMPID3853,H2IL06116
AR09022860011172265985,KIRK DEVIERE CAMPAIGN COMMITTEE,down ballot,campaign,campaign,,
AR07103017326441660417,CICELY DAVIS FOR CONGRESS,us house,campaign,,WMPID4126,H2MN05166
AR05422809352694136833,TERRY FOR VIRGINIA,governor,campaign,campaign,,
AR14574651561092317185,Friends of Win Stoller,down ballot,campaign,campaign,,
AR06026291702761783297,Ilhan for Congress,us house,campaign,,WMPID1157,H8MN05239
AR13355637862784040961,Committee to Elect Suzanne Harrison,down ballot,campaign,campaign,,
AR18396919291980021761,Mike Moon for Congress,us house,campaign,,WMPID3555,H2MO07135
AR12984353127049199617,NATIONAL ASSOCIATION OF WHOLESALER-DISTRIBUTORS,,group,group,,
AR15270885069946880001,Kevin Mannix for State Representative,down ballot,campaign,campaign,,
AR08354652710112329729,"PRIORITIES USA AND LEAGUE OF CONSERVATION VOTERS, INC.",,group,,,
AR07165702408486518785,CONTRERAS FOR ASSEMBLY 2021,down ballot,campaign,campaign,,
AR15524383316886159361,VEGA FOR DA,down ballot,campaign,campaign,,
AR04877113210613792769,WEILER FOR CONGRESS,us house,campaign,,WMPID4223,H2MN03104
AR00315727375255994369,REP. SHARICE DAVIDS - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,WMPID1128,H8KS03155
AR14164933602566995969,Citizens for Laura M Murphy,down ballot,campaign,campaign,,
AR10034159470319239169,McKelvey For Senate,down ballot,campaign,,,
AR02262273074256674817,MICHELLE VALLEJO FOR CONGRESS,us house,campaign,,WMPID3257,H2TX15203
AR07731524836035395585,DEFEND COLORADO IEC,,group,group,,
AR11516044408596201473,DP Strategies LLC dba Brown Strategy Group,,group,group,,
AR08731206030689566721,SIMPSON FOR CONGRESS,us house,campaign,,WMPID1106,H8ID02064
AR05591398226495275009,September Group LLC,,group,group,,
AR02665761955813261313,CINDY AXNE FOR CONGRESS,us house,campaign,,WMPID1103,H8IA03124
AR07849488964678320129,STUART RAY FOR CONGRESS,us house,campaign,,WMPID4051,H2KY03214
AR14593640676659822593,Ken King for State Representative,down ballot,campaign,campaign,,
AR00823873545980346369,CAROLYN FOR CONGRESS,us house,campaign,,WMPID1097,H8GA07201
AR14686410870741794817,Kurt Huffman,,unclear could be campaign,unclear could be campaign,,
AR11469525927050870785,FRIENDS OF NICK MILLER,down ballot,campaign,campaign,,
AR03414271195254620161,Committee to Elect Scott Hilton,down ballot,campaign,campaign,,
AR16628116519557005313,David Cook 4 State House,down ballot,campaign,campaign,,
AR17541235362779627521,MATT STOLL FOR CONGRESS,us house,campaign,,WMPID1767,H2CA22249
AR08714940680301969409,JENNIFER CARROLL FOY FOR GOVERNOR,governor,campaign,campaign,,
AR05561660353974108161,Doggett for Congress Campaign Committee,us house,campaign,,WMPID928,H4TX10028
AR11700827233248608257,HIMES FOR CONGRESS,us house,campaign,campaign,WMPID1081,H8CT04172
AR15148698060739051521,FRENCH HILL FOR ARKANSAS,us house,campaign,,WMPID863,H4AR02141
AR09345444628133838849,MIKEBLOOMBERG.COM LLC,,group,group,,
AR08402266717555785729,Brittany Pettersen for Colorado,us house,campaign,campaign,WMPID2090,H8CO07045
AR16784630625381384193,PRAGER UNIVERSITY FOUNDATION,,group,group,,
AR03994407683649175553,HARDEN FOR CONGRESS,us house,campaign,,WMPID3059,H2MD01238
AR15862018049008730113,Communities United for Bass for LA Mayor 2022,down ballot,campaign,campaign,,
AR06025531115593269249,"The People for Emanuel ""Chris"" Welch",down ballot,campaign,campaign,,
AR00403009357047922689,A BETTER WISCONSIN TOGETHER INSTITUTE INC,,group,group,,
AR08296471227694841857,ALESSANDRA BIAGGI FOR CONGRESS,us house,campaign,,WMPID3990,H2NY03196
AR01918504372921171969,William M. Hixon,down ballot,campaign,campaign,,
AR07945211622358777857,Cicely Davis for Congress,us house,campaign,,WMPID4126,H2MN05166
AR03706937894665977857,MURPHY FOR GOVERNOR 2021,governor,campaign,campaign,,
AR18235550292563197953,ELECTRIC SYMPHONY LLC,,group,group,,
AR07388630590041358337,ERIC WELSH FOR CONGRESS,us house,campaign,,WMPID3231,H2GA06131
AR09422005821799137281,FRIENDS OF MATT GAETZ,us house,campaign,campaign,WMPID960,H6FL01119
AR06264982483012419585,MIA BONTA FOR ASSEMBLY 2021,down ballot,campaign,campaign,,
AR10104666478084096001,Jason Smith for Senate,us house,campaign,,WMPID900,H4MO08162
AR04339070494096490497,ACCOUNTABLE.US,,group,group,,
AR17123993721063342081,Committee to elect Sylvia Bennett,down ballot,campaign,campaign,,
AR07219215845568806913,California Republican Party,,party,party,,
AR07871923125053554689,STANTON FOR CONGRESS,us house,campaign,,WMPID1048,H8AZ09040
AR00754067751756103681,MADISON FOR CONGRESS,us house,campaign,,WMPID3527,H2OH09163
AR00592663567967191041,Spot Fake News,,group,group,,
AR11544281516464930817,Mary Miller for Congress,us house,campaign,,WMPID233,H0IL15129
AR17033089192055275521,CHRONICLE MEDIA INC.,,group,group,,
AR01984311037196763137,MOWERS FOR CONGRESS,us house,campaign,,WMPID432,H0NH01282
AR10009462446294564865,Hrair Harry Tamrazian,,unclear could be campaign,unclear could be campaign,,
AR14432260407248814081,ERIC LYNN FOR CONGRESS,us house,campaign,campaign,WMPID3278,H6FL13189
AR00618938047580340225,STAND FOR FL,,group,,,
AR13301233752563777537,NICOLE FOR NEW YORK,us house,campaign,,WMPID489,H0NY11078
AR00345503524525703169,DAVIDSON FOR CONGRESS,us house,campaign,,WMPID1007,H6OH08315
AR11600903616516325377,JIM JORDAN FOR CONGRESS,us house,campaign,,WMPID1006,H6OH04082
AR07571026374949863425,JOHN BOLTON SUPER PAC,,group,group,,
AR14588906729346433025,MICHAEL MARKEY GOVERNOR RACE CANDIDATE,governor,campaign,campaign,,
AR16911492002116272129,ADRIAN SMITH COMMITTEE TO ELECT FOR CONGRESS,us house,campaign,,WMPID998,H6NE03115
AR16788227402793746433,KDW for Treasurer,down ballot,campaign,campaign,,
AR14866857771290066945,MIAMI-DADE COUNTY - BOARD OF COUNTY COMMISSIONERS,,government agency,government agency,,
AR02938157371660173313,Scanlon for CT,down ballot,campaign,campaign,,
AR10934608915932905473,Steve Kaiser for Arizona,down ballot,campaign,campaign,,
AR13060069895784366081,BLUESTEM INITATIVE,,group,group,,
AR02400894002728534017,"THE FOUNDATION FOR CONSTITUTIONAL GOVERNMENT, INC.",,group,group,,
AR11349546462313709569,PROTECT OHIO VALUES PAC (POV PAC),,group,,,
AR05414167466177724417,MILLER-MEEKS FOR CONGRESS,us house,campaign,,WMPID2556,H8IA02043
AR07044105218547515393,KANSAS VALUES INSTITUTE,,group,,,
AR12916463437994786817,We Believe in Lori Mizgorski,down ballot,campaign,campaign,,
AR07548508376813010945,CARRIE ISAAC,down ballot,campaign,campaign,,
AR11164913927156924417,Gregory Lopez,down ballot,campaign,campaign,,
AR03785750888144961537,Sig for Senate,down ballot,campaign,,,
AR14323551692610600961,TARA FOR ALASKA,us house,campaign,,WMPID4360,H2AK01174
AR13823294792693448705,The American SOS Project PAC,,group,group,,
AR05787966235249475585,Paul Broun for Congress,us house,campaign,,WMPID3972,H6GA09243
AR17108889798552059905,DEBORAH ROSS FOR CONGRESS,us house,campaign,,WMPID402,H0NC02125
AR14232779723473158145,Colorado Succeeds,,group,group,,
AR17545338465296580609,MACOMBER FOR IDAHO,down ballot,campaign,campaign,,
AR03643909490115346433,Arora For CT,down ballot,campaign,campaign,,
AR15087534153031221249,"BIPARTISAN POLICY CENTER, INC",,group,group,,
AR12330267953336418305,HOLLYWOOD CHAMBER OF COMMERCE POLITICAL ACTION COMMITTEE,,group,,,
AR13344641097238839297,REP. RAJA KRISHNAMOORTHI - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,WMPID975,H6IL08147
AR01240865461118173185,"Santa Clara Community Leaders Supporting Anthony Becker for Mayor 2022, sponsored by DeBartolo Corporation & Affiliated Entities, including Forty Niners Football Company, LLC",down ballot,campaign,campaign,,
AR00068171782506414081,Ryan O'Daniel,,unclear could be campaign,unclear could be campaign,,
AR06706335246494728193,FreedomWorks Inc,,group,group,,
AR12684863751829061633,HEATHER MIZEUR FOR CONGRESS,us house,campaign,,WMPID4259,H2MD01220
AR00184243033162645505,Grant Hauschild for MN Senate Committee,down ballot,campaign,,,
AR02470699796952776705,CITIZENS FOR GIANNOULIAS,down ballot,campaign,campaign,,
AR02433910412765298689,"CLEARPATH ACTION FUND, INC.",,group,group,,
AR12687115551642746881,STRICKLAND FOR WASHINGTON,us house,campaign,campaign,WMPID746,H0WA10034
AR00666163721260761089,NARAL PRO-CHOICE AMERICA,,group,group,,
AR03391685920750043137,ALEXANDRA OWENSBY FOR THE PEOPLE,us house - other cycle,campaign,,WMPID265,
AR05691701793214431233,KEVIN MCCARTHY FOR CONGRESS,us house,campaign,,WMPID950,H6CA22125
AR02639144634730676225,DR. SARAH SUN LIEW FOR CONGRESS,us house,campaign,,WMPID2535,H0CA33216
AR13312297313440366593,David Smith,down ballot,campaign,campaign,,
AR13350757336826773505,RUDY SALAS FOR CONGRESS,us house,campaign,,WMPID2485,H2CA21233
AR16976940431759638529,Friends of Neelam Gupta,down ballot,campaign,campaign,,
AR17945068116597800961,Mbah Committee,down ballot,campaign,campaign,,
AR16014001548451381249,Steven Roy Johnson,,unclear could be campaign,unclear could be campaign,,
AR01976795050587193345,Christian Discounts LLC,,group,group,,
AR14627322566109298689,REPRESENT US EDUCATION FUND,,group,group,,
AR02972006730474455041,KOS MEDIA LLC,,group,group,,
AR09964689576897282049,LA Committee for a Conservative Majority PAC,,group,group,,
AR01326024904432156673,CAREY FOR CONGRESS,us house,campaign,,WMPID3947,H2OH15228
AR07583692748901842945,AMERICANS FOR POLICE AND TROOPER SAFETY,,group,group,,
AR16600586603823366145,Alexis Calatayud Campaign,down ballot,campaign,campaign,,
AR14874683751459192833,CENTER FORWARD COMMITTEE,,group,,,
AR12874380248916951041,THEA SELBY FOR ASSEMBLY 2022,down ballot,campaign,campaign,,
AR13505887775987073025,Friends of Daniel Nguyen,down ballot,campaign,campaign,,
AR09438859136029687809,JOHN CARTER FOR CONGRESS,us house,campaign,,WMPID853,H2TX31044
AR03353405323917393921,BAILEY FOR ILLINOIS,governor,campaign,campaign,,
AR16131524841651044353,RECLAIMTHEAMERICANDREAM ORG,,group,group,,
AR05834128131430023169,"WORKING FAMILIES ORGANIZATION, INC.",,group,group,,
AR18122115876948803585,MIGHTY OAKS FOUNDATION,,group,group,,
AR12606050758350077953,COLORADANS FOR KERRY DONOVAN,us house,campaign,,WMPID3778,H2CO03211
AR04999470987721310209,COLOROFCHANGE PAC,,group,group,,
AR16392733620038533121,"PLANNED PARENTHOOD FEDERATION OF AMERICA, INC.",,group,group,,
AR05055005395894927361,Elise for Congress,us house,campaign,,WMPID918,H4NY21079
AR17130163424404176897,JOAQUIN BELTRAN FOR CONGRESS,us house,campaign,,WMPID3241,H2CA42247
AR13315367699660931073,Rabine for Governor,governor,campaign,campaign,,
AR04182067655353565185,"CONSERVATIVE BUZZ, LLC",,group,group,,
AR11905426212371038209,Suzanne Fox for Leesburg Mayor,down ballot,campaign,campaign,,
AR05562420941142622209,Somos PAC,,group,,,
AR17416437769370075137,Put Utah First PAC,,group,group,,
AR09521085013601288193,STRINGER FOR NEW YORK,down ballot,campaign,campaign,,
AR15096541352285962241,Eric Berthel for Senate,down ballot,campaign,campaign,,
AR13663636083613630465,Secure MI Vote,,group,group,,
AR18373272026681966593,LEANNE FOR PA,down ballot,campaign,campaign,,
AR04808433316296392705,AMANDA MAKKI FOR CONGRESS,us house,campaign,,WMPID4623,H0FL13133
AR00648993747681411073,CONGRESSIONAL PROGRESSIVE CAUCUS PAC,,group,,,
AR14269529387803082753,SORIA FOR ASSEMBLY 2022,down ballot,campaign,campaign,,
AR12051724274625413121,Mary Peltola for Alaska,us house,campaign,,WMPID4308,H2AK01158
AR02756698920414347265,Unite For Colorado Action IEC,,group,group,,
AR10785835921723883521,"34N22, INC.",,group,,,
AR06620675594109583361,Travis M. Griffin,,unclear could be campaign,unclear could be campaign,,
AR07323328395444486145,PAUL TONKO FOR CONGRESS,us house,campaign,,WMPID1196,H8NY21203
AR03299108897117175809,JORDAN W LEONARD CAMPAIGN,down ballot,campaign,campaign,,
AR16902850115599859713,Hold Idaho Accountable Inc,,group,group,,
AR03156519075266428929,Amy Phan West For Congress,us house,campaign,,WMPID2632,H2CA45125
AR05573461343555551233,BRUCE POLIQUIN FOR CONGRESS,us house,campaign,campaign,WMPID4254,H4ME02234
AR00063525796123246593,MOVEON.ORG POLITICAL ACTION,,group,,,
AR11938757426330730497,Penny Ronning for US Congress,us house,campaign,,WMPID1677,H2MT02134
AR05741403841958510593,Tiffany Bryant,,unclear could be campaign,unclear could be campaign,,
AR14046442051940122625,BURRIL FOR CONGRESS,us house,campaign,,WMPID2026,H0NC11217
AR04287057821666639873,ProgressNow,,group,group,,
AR09394984224034914305,BILL FOSTER FOR CONGRESS,us house,campaign,,WMPID1115,H8IL14067
AR03036102211059843073,Equality Michigan Action Network,,group,group,,
AR03881598615273078785,National Association of Home Builders of the United States,,group,group,,
AR05566688351928451073,Matt Jenkins for Congress,us house,campaign,campaign,WMPID2470,H2NJ04215
AR05057390167896096769,A Safer Jacksonville For All,,group,group,,
AR11000446022936690689,CONGRESSIONAL LEADERSHIP FUND,,group,,,
AR08505523297629241345,DENISE KEEHAN-SMITH FOR NYC COUNCIL,down ballot,campaign,campaign,,
AR00396792168548663297,SEMINOLE COUNTY DEMOCRATIC EXECUTIVE COMMITTEE,,party,party,,
AR15518423414107799553,KRYSTOFIAK FOR CONGRESS,us house,campaign,,WMPID3597,H2AZ02410
AR02124450391226580993,BRANDON MICHON FOR VIRGINIA,us house,campaign,,WMPID4474,H2VA10257
AR17379866363362803713,RESTORATION ACTION,,group,,,
AR04362176456076296193,"Brad for Georgia SOS, Inc.",down ballot,campaign,campaign,,
AR08523537696138723329,GUARDIAN AND SWIFT FOR ASSEMBLY,down ballot,campaign,campaign,,
AR00017645374919409665,DEMOCRATIC PARTY OF OREGON,,party,party,,
AR06732596257090437121,FREDERICK FRAZIER CAMPAIGN,down ballot,campaign,campaign,,
AR16074187784163688449,Bryan Jones for Congress,us house,campaign,,WMPID3522,H2FL01241
AR09100189763465379841,Amemiya for LG,down ballot,campaign,campaign,,
AR07023608122782515201,"Dan Moy for Congress, Inc.",us house,campaign,,WMPID4332,H2VA05125
AR05516624357700403201,JIMMY PANETTA FOR CONGRESS,us house,campaign,,WMPID949,H6CA20152
AR01300123983894544385,DR GILLIAN BATTINO FOR STATE TREASURER,down ballot,campaign,,,
AR12226036862363369473,CAPITAL RESEARCH CENTER,,group,group,,
AR03011626738628165633,Partners for Educational Freedom in NC,,group,group,,
AR02890625277832986625,NANCY PELOSI FOR CONGRESS,us house,campaign,,WMPID1052,H8CA05035
AR09033935666676760577,SCHIFF FOR CONGRESS,us house,campaign,,WMPID70,H0CA27085
AR04497684942007828481,NetChoice,,group,,,
AR11663264067753082881,Nick Myers for Corporation Commissioner,down ballot,campaign,campaign,,
AR09881447956740046849,James Poland,,unclear could be campaign,unclear could be campaign,,
AR01786152653592461313,STATE DEMOCRATIC EXECUTIVE COMMITTEE OF ALABAMA,,party,party,,
AR02337800933150294017,Arizona Multihousing Association,,group,group,,
AR17968113880315985921,Walker for Colorado,,campaign,,WMPID4348,
AR13420357865974005761,"MANHATTAN INSTITUTE FOR POLICY RESEARCH, INC.",,group,group,,
AR08894324078228275201,SHAPIRO FOR PENNSYLVANIA,governor,campaign,campaign,,
AR13132971914752425985,EVEREST STRATEGIES,,group,group,,
AR16956527998389977089,TEXAS FEDERATION FOR CHILDREN PAC INC,,group,group,,
AR17983348713430450177,TONY FOR WISCONSIN,governor,campaign,campaign,,
AR01412062170341965825,KEVIN HERTEL FOR STATE SENATE,down ballot,campaign,campaign,,
AR05427312952321507329,TEXANS FOR CHARLES SCHWERTNER,down ballot,campaign,campaign,,
AR03890713566667341825,Mauro Campaign Team,down ballot,campaign,campaign,,
AR08521285896325038081,BYRON DONALDS FOR CONGRESS,us house,campaign,,WMPID158,H2FL14186
AR08774978688102957057,Todd Spitzer for District Attorney 2022,down ballot,campaign,campaign,,
AR04481080392283062273,ANGELA ROGENSUES FOR CONGRESS,us house,campaign,,WMPID3423,H2MI10143
AR13168156286841257985,BRIXIUS,,group,group,,
AR17202801766740000769,Mandie Landry Campaign Committee,down ballot,campaign,campaign,,
AR00585943352898224129,RYAN FOR ARIZONA,down ballot,campaign,campaign,,
AR05705775542049964033,Taxpayers Protection Alliance,,group,,,
AR09009926455894736897,REP. JOE MORELLE - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,WMPID1201,H8NY25105
AR07593544373086715905,AUGUST PFLUGER FOR CONGRESS,us house,campaign,,WMPID645,H0TX11230
AR03071930347206737921,REP. STENY HOYER - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,WMPID806,H2MD05155
AR11564874819497361409,Angie Chen Button Campaign,down ballot,campaign,campaign,,
AR08181641806702706689,Testin for Wisconsin,down ballot,campaign,campaign,,
AR14322832268408651777,David Yassky for New York State Senate,down ballot,campaign,,,
AR05661500132944773121,BUCK FOR COLORADO,us house,campaign,,WMPID878,H4CO04090
AR17158630330203111425,"JOHN GIBBS FOR CONGRESS, INC.",us house,campaign,,WMPID4736,H2MI03197
AR11301279001365970945,Mills for Maine,governor,campaign,campaign,,
AR06174149903296495617,Doctor Matt Rostami For Texas Campaign,down ballot,campaign,campaign,,
AR17279626087281721345,VIACOM INTERNATIONAL INC.,,group,group,,
AR12210318931327451137,Dave Myers for Sheriff 2022,down ballot,campaign,campaign,,
AR01075791725991034881,Friends of Scott Saiki,down ballot,campaign,campaign,,
AR04350192054211444737,Friends of Jeremy Shaffer,us house,campaign,,WMPID2949,H2PA17160
AR16290096408608899073,United Democracy Project,,group,,,
AR03043159701320630273,"UNITED WE DREAM NETWORK, INC.",,group,group,,
AR12511475166175297537,EPOCH USA INC.,,group,group,,
AR14119260233146564609,ROBB FAHRION,,unclear could be campaign,unclear could be campaign,,
AR03792506287586017281,REP. GLENN GROTHMAN - U.S. HOUSE OF REPRESENTATIVES,us house,government official,government official,WMPID941,H4WI06048
AR09683112345605242881,Erin for DC,down ballot,campaign,campaign,,
AR07994245649069506561,Tracie Davis,down ballot,campaign,campaign,,
AR02342329821545103361,RITACCO GROUP LLC,,group,group,,
AR04518744919006773249,Friends of Rich Walsh,down ballot,campaign,campaign,,
AR11230165887816302593,DEMPSEY FOR COLORADO,us house,campaign,,WMPID1737,H2CO07212
AR04729255010079080449,BURGESS 4 CONGRESS,us house,campaign,,WMPID850,H2TX26093
AR01689325261603995649,MADDOX FOR VIRGINIA,down ballot,campaign,campaign,,
AR01373133961160556545,American Federation for Children Action Fund - Wisconsin IE Committee,,group,group,,
AR04674451227382120449,J STREET,,group,group,,
AR10508509333665349633,Will Of The People,,group,group,,
AR02547555865892749313,"Building a Stronger California, sponsored by Southwest Regional Council of Carpenters",,group,group,,
AR14523260662487973889,BERA FOR CONGRESS,us house,campaign,,WMPID45,H0CA03078
AR12037075687366983681,Steele for PA,down ballot,campaign,campaign,,
AR07197592918616440833,DAVID CURRY FOR CONGRESS,us house,campaign,,WMPID3982,H2GA10182
AR10618802238400757761,Mallory Staples for Congress,us house,campaign,,WMPID1807,H2GA06156
AR01887483645208297473,SARAH FOR IOWA,down ballot,campaign,campaign,,
AR13018495436992806913,AMERICAN CIVIL LIBERTIES UNION OF MICHIGAN,,group,group,,
AR03064592412761391105,Anthony for Lieutenant Governor,down ballot,campaign,campaign,,
AR09045955252913700865,Nora for Norwalk,down ballot,campaign,campaign,,
AR11340539263058968577,PIVOT MEDIA GROUP LLC,,group,group,,
AR15541236631116709889,Committee to Elect Ruwa Romman,down ballot,campaign,campaign,,
AR00984116301892943873,Miya Walker For Inglewood Mayor 2022,down ballot,campaign,campaign,,
AR03021411086445314049,Sabbath Lafleur,,unclear could be campaign,unclear could be campaign,,
AR14280066282609967105,DIANA FOR CONGRESS,us house,campaign,,WMPID606,H0TN01118
AR04275663582667997185,Future PAC,,group,group,,
AR05538923278145421313,HOOSIER VALUES,,group,,,
AR14439097926464569345,CAFE ACCION,,group,group,,
AR13489696367756443649,Alaskans For Lisa,us senate,group,,,
AR15812613693037871105,KEVIN PARKER FOR NEW YORK CITY,down ballot,campaign,campaign,,
AR00008638175664668673,TINA SMITH FOR MINNESOTA,us senate - other cycle,campaign,,WMPID1539,
AR13281590702455652353,TREASURE FLORIDA,,group,group,,
AR07485457982029824001,DAN CRENSHAW FOR CONGRESS,us house,campaign,,WMPID1240,H8TX02166
AR01706178575834546177,STITT FOR GOVERNOR 2022,governor,campaign,campaign,,
AR15028494776666161153,Carl Ringwall,,unclear could be campaign,unclear could be campaign,,
AR12137676397103546369,TIM KELLY FOR MAYOR,down ballot,campaign,campaign,,
AR12756921345866989569,BOSTON TURNOUT PROJECT INDEPENDENT EXPENDITURE POLITICAL ACTION COMMITTEE,,group,group,,
AR03399932532836270081,COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,,group,,,
AR04109386913100595201,Friends of Tracy Pennycuick,down ballot,campaign,campaign,,
AR17048091203582558209,DAVID OCAMPO GRAJALES FOR CONGRESS,us house,campaign,,WMPID4365,H2NJ08240
AR03252242763739037697,OUR GUY FOR CONGRESS,us house,campaign,campaign,WMPID3395,H2PA06197
AR09752521972046102529,Feargal O'Toole,,unclear could be campaign,unclear could be campaign,,
AR09596885620098072577,KINZINGER FOR CONGRESS,us house - not in our 2022 FEC cd file,campaign,,WMPID229,
AR02405865650711953409,Friends of Mark Meek,down ballot,campaign,campaign,,
AR07028342619851718657,NEVADA PETROLEUM MARKETERS & CONVENIENCE STORE ASSOC C/O WPMA,,group,group,,
AR11727004406082699265,FRIENDS OF RAJA FOR CONGRESS,us house,campaign,,WMPID975,H6IL08147
AR15375764529182932993,"STAND UP TO CHINA, INC.",,group,,,
AR07093644814448590849,CHESAPEAKE CLIMATE ACTION NETWORK ACTION FUND,,group,group,,
AR07161198808859148289,CALIFORNIA REPUBLICAN PARTY FEDERAL ACCT.,,party,party,,
AR01255818613097496577,Morgan McGarvey for Congress,us house,campaign,,WMPID3617,H2KY03206
AR07222500155520450561,VOLUNTEERS FOR KELLY MOLLER,down ballot,campaign,campaign,,
AR05417545165898252289,Bilal Mahmood for Assembly 2022,down ballot,campaign,campaign,,
AR10587677538119581697,Levi Leatherberry,,unclear could be campaign,unclear could be campaign,,
AR08803577810175131649,"PACE OF CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION - LOCAL, STATE, FEDERAL CANDIDATES",,group,group,,
AR05720046928100589569,DEMOCRATIC ACTION,,group,,,
AR01077477827072229377,Sebastian Griffin,,unclear could be campaign,unclear could be campaign,,
AR02042254956383174657,Nice Guys Corporation,,group,group,,
AR12218741190396215297,HAYSTAQ DNA LLC,,group,group,,
