advertiser_id,advertiser_name,public_ids_list,public_id_short,CMTE_ID,ein_id,date_wmpcoded,wmp_candidate,wmp_office,wmp_spontype,wmp_spontypelong,wmp_govtorcand,wmp_notes,search_status,search_terms,search_type,search_notes,needs_further_coding,cand_fav,cand_tar,sponsor_name,sponsor_cmag,wmp_dateout,wmp_datein,pres_fecid,sen_fecid,hse_fecid,sen_cycle,hse_cycle,sen_state,hse_state,pres_party,sen_party,hse_party,pres_cdstatus,sen_cdstatus,hse_cdstatus,hse_district,wmp_pres,wmp_sen,wmp_hse,wmp_gov,cmte_fecid,cmte_party,LINKAGE_ID,CMTE_TP,CMTE_DSGN,wmp_groupflag,wmp_multisponsor,CAND_ELECTION_YR,FEC_ELECTION_YR,type_cmag,type_scsp,wmp_grouptype,cycle2020_cd,disclosure
AR80260637975904256,KENT ABERNATHY FOR CONGRESS,FEC ID C00721985,C00721985,C00721985,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"ABERNATHY, KENT",,"ABERNATHY, KENT","ABERNATHY, KENT",,,,,H0IN05268,,,,IN,,,REP,,,OPEN,5,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR94037793549844480,KWASMAN FOR STATE SENATE,EIN ID 84-4678906,84-4678906,,84-4678906,9/10/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR409801933725892608,VIKKI 4 TX HOUSE,EIN ID 35-2586859,35-2586859,,35-2586859,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR78122156579356672,WEBER FOR CONGRESS,FEC ID C00502229,C00502229,C00502229,,10/13/2020,,us house,campaign,campaign,1,,,,,,,"WEBER, RANDY",,"WEBER, RANDY","WEBER, RANDY",,,,,H2TX14149,,,,TX,,,REP,,INCUMBENT,,14,0,0,1,0,C00502229,REP,,,,0,0,,,0,0,,1,
AR416552179206193152,OLSON FOR CONGRESS COMMITTEE,FEC ID C00437913,C00437913,C00437913,,8/11/2020,,us house,campaign,campaign,1,need candidate name from full fec file (not a 2020 cand),,,,,,,,,,,,,,H8TX22107,,2018,,,,,,,,,,0,0,1,0,,,,,,0,0,2020,2020,0,0,,0,
AR285579453617143808,CHIP ROY FOR CONGRESS,FEC ID C00662767,C00662767,C00662767,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"ROY, CHIP",,"ROY, CHIP","ROY, CHIP",,,,,H8TX21307,,,,TX,,,REP,,,INCUMBENT,21,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR413581298787942400,KOPSER FOR CONGRESS,FEC ID C00641191,C00641191,C00641191,,8/11/2020,,us house,campaign,campaign,1,need candidate name from full fec file (not a 2020 cand),,,,,,,,,,,,,,H8TX21190,,2018,,,,,,,,,,0,0,1,0,,,,,,0,0,2018,2020,0,0,,0,
AR99136641284702208,BEN SASSE FOR US SENATE INC,FEC ID C00547976,C00547976,C00547976,,12/15/2019,,us senate,campaign,campaign,1,,,,,,,"SASSE, BENJAMIN E",,"SASSE, BENJAMIN E","SASSE, BEN",,,,S4NE00090,,,,NE,,,REP,,,INCUMBENT,,,0,1,0,0,,,223115,S,P,0,0,,,0,0,,1,
AR290755885641236480,MICHAEL BRACCHI,,,,,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR559323970231336960,ARIZONANS FOR STRONG LEADERSHIP PAC,EIN ID 81-2894453,81-2894453,,81-2894453,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR572574528455049216,MARYOTT FOR CONGRESS,FEC ID C00666859,C00666859,C00666859,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"MARYOTT, BRIAN L MR",,"MARYOTT, BRIAN L MR","MARYOTT, BRIAN",,,,,H8CA49108,,,,CA,,,REP,,,CHALLENGER,49,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR359844592125739008,FRIENDS OF JOHN H MERRILL FOR U.S. SENATE,EIN ID 84-2081980,84-2081980,,84-2081980,5/12/2020,,us senate,campaign,campaign,1,,,,,,,"MERRILL, JOHN H",,"MERRILL, JOHN H","MERRILL, JOHN H",,,,S0AL00289,,,,AL,,,REP,,,CHALLENGER,,,0,1,0,0,,,,,,0,0,,,0,0,,1,
AR127305510713032704,FRIENDS OF ELIZABETH MADEIRA,EIN ID 85-0633291,85-0633291,,85-0633291,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR326328454054150144,DEFENDING MAIN STREET SUPERPAC INC.,FEC ID C00540203,C00540203,C00540203,,9/7/2020,,,group,group,0,,1,defending main street,CMAG,,,,,DEFENDING MAIN STREET,DEFENDING MAIN STREET,,,,,,,,,,,,,,,,,0,0,0,0,,REP,,,,1,0,,,1,0,,,
AR268437723742732288,ROGER FOR WISCONSIN,FEC ID C00733600,,C00733600,,10/13/2020,,us house,campaign,campaign,1,,,,,,,"POLACK, ROGER",,"POLACK, ROGER","POLACK, ROGER",,,,,H0WI01120,,,,WI,,,DEM,,,CHALLENGER,1,0,0,1,0,C00733600,DEM,,,,0,0,,,0,0,,1,
AR436057515482939392,"Data Targeting, Inc.",EIN ID 59-3347457,59-3347457,,59-3347457,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR55134392099536896,WYOMING REALTORS,EIN ID 83-0220949,83-0220949,,83-0220949,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR4118152082358272,PADDY SIZEMORE FOR REPRESENTATIVE,EIN ID 85-0562484,85-0562484,,85-0562484,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR335183920704258048,BOB CORLEW FOR CONGRESS,FEC ID C00666966,C00666966,C00666966,,9/10/2020,,us house,campaign,campaign,1,,,,,,,"CORLEW, BOB",,"CORLEW, BOB","CORLEW, BOB",,,,,H8TN06102,,,,TN,,,REP,,,OPEN,6,0,0,1,0,,,,,,0,0,,,0,0,,1,
AR508457882270826496,SARAH RIGGS AMICO FOR GEORGIA EXPLORATORY COMMITTEE INC,EIN ID 84-2395638,84-2395638,,84-2395638,5/12/2020,,us senate,campaign,campaign,1,,,,,,,"RIGGS AMICO, SARAH",,"RIGGS AMICO, SARAH","RIGGS-AMICO, SARAH",,,,S0GA00401,,,,GA,,,DEM,,,CHALLENGER,,,0,1,0,0,,,,,,0,0,,,0,0,,1,
AR477122419354501120,ANN ASHFORD FOR CONGRESS,EIN ID 83-3512418,83-3512418,,83-3512418,9/10/2020,,us house,campaign,campaign,1,,,,,,,"ASHFORD, ANN",,"ASHFORD, ANN","ASHFORD, ANN",,,,,H0NE02169,,,,NE,,,DEM,,,CHALLENGER,2,0,0,1,0,,,,,,0,0,,,0,0,,1,
AR371276283239202816,AHLERS FOR SENATE,FEC ID C00720623,C00720623,C00720623,,8/11/2020,,us senate,campaign,campaign,1,,,,,,,"AHLERS, DAN",,"AHLERS, DAN","AHLERS, DAN",,,,S0SD00070,,,,SD,,,DEM,,,CHALLENGER,,,0,1,0,0,,,,,,0,0,2020,2020,0,0,,1,
AR517997520031318016,DON BACON FOR CONGRESS,FEC ID C00575167,C00575167,C00575167,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"BACON, DONALD J",,"BACON, DONALD J","BACON, DON",,,,,H6NE02125,,,,NE,,,REP,,,INCUMBENT,2,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR26598766823866368,COMMITTEE TO ELECT ALEX HAMMOND,EIN ID 84-3406240,84-3406240,,84-3406240,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR382501747202981888,REAGAN INVESTMENTS LLC,EIN ID 84-4340897,84-4340897,,84-4340897,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR282434987800657920,ADVANCING AZ,EIN ID 83-4665335,83-4665335,,83-4665335,5/11/2020,,,group,group,0,,,,,,,,,ADVANCING AZ,ADVANCING AZ,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,1,0,,,1,0,,,
AR286251667538575360,MCMURTRY FOR CONGRESS,FEC ID C00734053,C00734053,C00734053,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"MCMURTRY, TODD",,"MCMURTRY, TODD","MCMURTRY, TODD",,,,,H0KY04133,,,,KY,,,REP,,,CHALLENGER,4,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR428685152579747840,KARIN HOUSLEY FOR SENATE COMMITTEE,EIN ID 84-5117732,84-5117732,,84-5117732,9/10/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR509365735277985792,SUZANNE HAWKINS HARRISON,,,,,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR153929909901721600,GARRETT WESTHOVEN FOR OHIO,EIN ID 84-4823426,84-4823426,,84-4823426,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR366955408700473344,SUSAN WILD FOR CONGRESS,FEC ID C00658567,C00658567,C00658567,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"WILD, SUSAN",,"WILD, SUSAN","WILD, SUSAN",,,,,H8PA15229,,,,PA,,,DEM,,,INCUMBENT,7,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR60585289713713152,DR JOHN JOYCE FOR CONGRESS,FEC ID C00674259,C00674259,C00674259,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"JOYCE, JOHN",,"JOYCE, JOHN","JOYCE, JOHN",,,,,H8PA13125,,,,PA,,,REP,,,INCUMBENT,13,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR50331244273074176,SCOTT WALLACE FOR CONGRESS,FEC ID C00667097,C00667097,C00667097,,8/11/2020,,us house,campaign,campaign,1,need candidate name from full fec file (not a 2020 cand),,,,,,,,,,,,,,H8PA08174,,2018,,,,,,,,,,0,0,1,0,,,,,,0,0,2018,2020,0,0,,0,
AR81585205889990656,ADVANCE MINNESOTA INDEPENDENT EXPENDITURE COMMITTEE,EIN ID 83-1060892,83-1060892,,83-1060892,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR78599688223195136,MIKE LEVIN FOR CONGRESS,FEC ID C00634253,C00634253,C00634253,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"LEVIN, MIKE",,"LEVIN, MIKE","LEVIN, MIKE",,,,,H8CA49058,,,,CA,,,DEM,,,INCUMBENT,49,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR320200875752554496,FRIENDS OF GLENN THOMPSON,FEC ID C00444620,C00444620,C00444620,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"THOMPSON, GLENN MR.",,"THOMPSON, GLENN MR.","THOMPSON, GLENN MR.",,,,,H8PA05071,,,,PA,,,REP,,,INCUMBENT,15,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR312492199730216960,TEAM GRAHAM INC,FEC ID C00458828,C00458828,C00458828,,12/15/2019,,us senate,campaign,campaign,1,,,,,,,"GRAHAM, LINDSEY O.",,"GRAHAM, LINDSEY O.","GRAHAM, LINDSEY",,,,S0SC00149,,,,SC,,,REP,,,INCUMBENT,,,0,1,0,0,,,222497,S,P,0,0,,,0,0,,1,
AR527920268874612736,COMMUNITY CHANGE VOTERS,EIN ID 81-1708999,81-1708999,,81-1708999,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR508705272387076096,SWEET FOR SENATE,EIN ID 84-2073304,84-2073304,,84-2073304,5/12/2020,,us senate,campaign,campaign,1,,,,,,,"SWEET, BETSY",,"SWEET, BETSY","SWEET, BETSY",,,,S0ME00103,,,,ME,,,DEM,,,CHALLENGER,,,0,1,0,0,,,,,,0,0,,,0,0,,1,
AR44610828871139328,FRIENDS OF MATT DOLAN,EIN ID 47-2938820,47-2938820,,47-2938820,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR519831505426448384,JOHN JAMES FOR SENATE INC,FEC ID C00651208,C00651208,C00651208,,12/15/2019,,us senate,campaign,campaign,1,,,,,,,"JAMES, JOHN",,"JAMES, JOHN","JAMES, JOHN",,,,S8MI00372,,,,MI,,,REP,,,CHALLENGER,,,0,1,0,0,,,224192,S,P,0,0,,,0,0,,1,
AR324198700031148032,SUSAN MORAN PALMER FOR CONGRESS,FEC ID C00667915,C00667915,C00667915,,9/10/2020,,us house,campaign,campaign,1,,,,,,,"PALMER, SUSAN MORAN",,"PALMER, SUSAN MORAN","PALMER, SUSAN MORAN",,,,,H8OH16157,,,,OH,,,DEM,,,OPEN,16,0,0,1,0,,,,,,0,0,,,0,0,,1,
AR235858094700101632,FRIENDS OF SARAH SCHULZ,EIN ID 80-4003279,80-4003279,,80-4003279,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR261087419791572992,ABBY BROYLES FOR US SENATE,FEC ID C00725762,C00725762,C00725762,,8/11/2020,,us senate,campaign,campaign,1,,,,,,,"BROYLES, ABBY",,"BROYLES, ABBY","BROYLES, ABBY",,,,S0OK00370,,,,OK,,,DEM,,,CHALLENGER,,,0,1,0,0,,,,,,0,0,2020,2020,0,0,,1,
AR59164720690626560,RICK NEAL FOR CONGRESS,FEC ID C00652651,C00652651,C00652651,,8/11/2020,,us house,campaign,campaign,1,need candidate name from full fec file (not a 2020 cand),,,,,,,,,,,,,,H8OH15134,,2018,,,,,,,,,,0,0,1,0,,,,,,0,0,2018,2020,0,0,,0,
AR533703425158807552,GROUNDWORK CENTER FOR RESILIENT COMMUNITIES INC,EIN ID 38-2314954,38-2314954,,38-2314954,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR452429243620524032,BETSY RADER FOR CONGRESS,FEC ID C00637967,C00637967,C00637967,,8/11/2020,,us house,campaign,campaign,1,need candidate name from full fec file (not a 2020 cand),,,,,,,,,,,,,,H8OH14111,,2018,,,,,,,,,,0,0,1,0,,,,,,0,0,2018,2020,0,0,,0,
AR149746886633324544,CHRIS DEPIZZO FOR CONGRESS,FEC ID C00659151,C00659151,C00659151,,8/11/2020,,us house,campaign,campaign,1,need candidate name from full fec file (not a 2020 cand),,,,,,,,,,,,,,H8OH13147,,2018,,,,,,,,,,0,0,1,0,,,,,,0,0,2018,2020,0,0,,0,
AR207984925180166144,"CHTFA, INC.",EIN ID 82-2706819,82-2706819,,82-2706819,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR321948755643334656,HOWARD TERNDRUP,EIN ID 85-0495209,85-0495209,,85-0495209,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR459378500705452032,LEAGUE OF CONSERVATION VOTERS VICTORY FUND & PRIORITIES USA ACTION,"EIN ID 27-3145176, EIN ID 37-1635320",27-3145176; 37-1635320,,27-3145176; 37-1635320,6/30/2020,,,group,group,0,,,,,,,,,LEAGUE OF CONSERVATION VOTERS VICTORY FUND; PRIORITIES USA ACTION,LEAGUE OF CONSERVATION VOTERS VICTORY FUND; PRIORITIES USA ACTION,,,,,,,,,,,,,,,,,0,0,0,0,27-3145176; 37-1635320,DEM,,,,0,1,,,0,0,,,
AR304879387377926144,DEFEAT BY TWEET,FEC ID C00749143,C00749143,C00749143,,9/7/2020,,,group,group,0,,1,defeat by tweet,FEC_SCSP,,,,,DEFEAT BY TWEET,DEFEAT BY TWEET,,,,,,,,,,,,,,,,,0,0,0,0,C00749143,DEM,,,,1,0,,,0,1,,,
AR474006059804000256,DR. RAUL RUIZ FOR CONGRESS,FEC ID C00502575,C00502575,C00502575,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"RUIZ, RAUL DR.",,"RUIZ, RAUL DR.","RUIZ, RAUL DR.",,,,,H2CA36439,,,,CA,,,DEM,,,INCUMBENT,36,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR222145879031676928,FEDERATION FOR AMERICAN IMMIGRATION REFORM,EIN ID 52-1136126,52-1136126,,52-1136126,12/2/2020,,,group,group,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR212460830858412032,ROSKAM FOR CONGRESS COMMITTEE,FEC ID C00410969,C00410969,C00410969,,8/11/2020,,us house,campaign,campaign,1,need candidate name from full fec file (not a 2020 cand),,,,,,,,,,,,,,H6IL06117,,2018,,,,,,,,,,0,0,1,0,,,,,,0,0,2018,2020,0,0,,0,
AR315671231443501056,PATRICIA TIMMONS-GOODSON FOR CONGRESS,FEC ID C00732800,C00732800,C00732800,,8/11/2020,,us house,campaign,campaign,1,,,,,,,"TIMMONS-GOODSON, PATRICIA",,"TIMMONS-GOODSON, PATRICIA","TIMMONS-GOODSON, PATRICIA",,,,,H0NC08254,,,,NC,,,DEM,,,CHALLENGER,8,0,0,1,0,,,,,,0,0,2020,2020,0,0,,1,
AR151725801404891136,FRIENDS OF SHELBY LABS,EIN ID 84-4546807,84-4546807,,84-4546807,12/2/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR290466095607840768,CAMPSEN FOR SC SENATE,EIN ID 20-1063128,20-1063128,,20-1063128,9/10/2020,,,candidate for another office,candidate for another office,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,0,0,,,0,0,,,
AR526586904867504128,JUDICIAL CRISIS NETWORK,EIN ID 20-2303252,20-2303252,,20-2303252,10/27/2020,,,group,group,0,,1,,,,,,,JUDICIAL CRISIS NETWORK,JUDICIAL CRISIS NETWORK,,,,,,,,,,,,,,,,,0,0,0,0,,REP,,,,1,0,,,1,0,,,
