wmpid,genelect_cd,CurrCand,cand_name,cand_id,cand_office,cand_office_st,cand_office_dist,cand_party_affiliation,cand_incumbent_challenger_open_s,dateadded_cd,office_wapo,result_wapo,primarydate_wapo,trumpe_wapo,gender_wmp,gender_crp,latino_wmp,latino_crp,race_wmp,race_crp1,race_crp2,race_crpmena,hse_cmpt_gen,full_name,first_name,last_name
WMPID50,0,,"PATTERSON, ROBERT BUZZ",H0CA07137,H,CA,7,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Buzz Patterson,Buzz,Patterson
WMPID52,1,Y,"OBERNOLTE, JAY",H0CA08135,H,CA,23,REP,INCUMBENT,6/7/2022,House,Won,7-Jun,1,M,M,0,N,White,W,NULL,N,0,Jay Obernolte,Jay,Obernolte
WMPID4333,0,,"GOMEZ, BLANCA",H0CA08226,H,CA,8,DEM,CHALLENGER,6/7/2022,,,,0,F,F,1,Y,Hispanic/Latino,H,NULL,NULL,0,Blanca Gomez,Blanca,Gomez
WMPID54,1,Y,"DESAULNIER, MARK",H0CA10073,H,CA,10,DEM,INCUMBENT,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Mark Desaulnier,Mark,Desaulnier
WMPID55,1,Y,"GARAMENDI, JOHN",H0CA10149,H,CA,8,DEM,INCUMBENT,6/7/2022,,,,0,M,M,1,Y,White,W,H,N,0,John Garamendi,John,Garamendi
WMPID58,1,Y,"HAYDEN, ALISON",H0CA15247,H,CA,14,REP,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,Alison Hayden,Alison,Hayden
WMPID61,1,Y,"TANDON, RITESH",H0CA17193,H,CA,17,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,Asian/Pacific Islander,AP,NULL,N,0,Ritesh Tandon,Ritesh,Tandon
WMPID62,1,Y,"KUMAR, RISHI",H0CA18068,H,CA,18,DEM,CHALLENGER,6/7/2022,,,,0,M,M,0,N,Asian/Pacific Islander,AP,NULL,N,0,Rishi Kumar,Rishi,Kumar
WMPID3365,0,,"DENHAM, JEFF",H0CA19173,H,CA,10,REP,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Jeff Denham,Jeff,Denham
WMPID63,1,Y,"GORMAN, JEFF",H0CA20122,H,CA,19,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,n,White,W,NULL,n,0,Jeff Gorman,Jeff,Gorman
WMPID64,0,,"ARBALLO, PHIL",H0CA22102,H,CA,13,DEM,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Phil Arballo,Phil,Arballo
WMPID1717,0,,"GARCIA, ERIC",H0CA22110,H,CA,22,DEM,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,NULL,0,Eric Garcia,Eric,Garcia
WMPID67,1,Y,"GARCIA, MICHAEL",H0CA25105,H,CA,27,REP,INCUMBENT,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,N,1,Mike Garcia,Mike,Garcia
WMPID3833,0,,"RUDNICK, FREDERICK D MR.",H0CA25139,H,CA,27,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Frederick Rudnick,Frederick,Rudnick
WMPID68,1,Y,"SMITH, CHRISTY",H0CA25154,H,CA,27,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,1,Christy Smith,Christy,Smith
WMPID69,0,,"KENNEDY, RONDA",H0CA26145,H,CA,30,REP,CHALLENGER,6/7/2022,,,,0,F,F,0,N,Black,B,NULL,N,0,Ronda Kennedy,Ronda,Kennedy
WMPID70,1,Y,"SCHIFF, ADAM",H0CA27085,H,CA,30,DEM,INCUMBENT,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Adam Schiff,Adam,Schiff
WMPID71,0,,"NALBANDIAN, JOHNNY",H0CA27127,H,CA,30,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,Soviet,N,0,Johnny Nalbandian,Johnny,Nalbandian
WMPID3032,1,Y,"PUDLO, G MAEBE A. GIRL",H0CA28174,H,CA,30,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,G Maebe A. Girl Pudlo,G Maebe A. Girl,Pudlo
WMPID2835,0,,"FABRICANT, DANNY",H0CA30139,H,CA,30,REP,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Danny Fabricant,Danny,Fabricant
WMPID75,1,Y,"CHU, JUDY",H0CA32101,H,CA,28,DEM,INCUMBENT,6/7/2022,,,,0,F,F,0,N,Asian/Pacific Islander,AP,NULL,N,0,Judy Chu,Judy,Chu
WMPID2246,0,,"GRIFFIN, MORRIS F",H0CA33158,H,CA,44,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,Black,B,NULL,NULL,0,Morris Griffin,Morris,Griffin
WMPID2535,0,,"LIEW, SARAH SUN DR.",H0CA33216,H,CA,33,REP,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Sarah Liew,Sarah,Liew
WMPID78,1,Y,"CARGILE, MIKE",H0CA35146,H,CA,35,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Mike Cargile,Mike,Cargile
WMPID1835,1,Y,"JONES, PAUL IRVING REVEREND",H0CA38140,H,CA,38,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Paul Irving Jones,Paul Irving,Jones
WMPID4017,0,,"FELIX, ANTHONY DR. JR.",H0CA40120,H,CA,40,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Anthony Felix,Anthony,Felix
WMPID83,0,,"O'MARA, WILLIAM EDWARD DR IV",H0CA42217,H,CA,42,DEM,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Liam O'Mara,Liam,O'Mara
WMPID4641,0,,"JAFRI, KHALID",H0CA43074,H,CA,9,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Khalid Jafri,Khalid,Jafri
WMPID84,1,Y,"COLLINS, JOE E III",H0CA43108,H,CA,36,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,Black,B,NULL,N,0,Joe Collins,Joe,Collins
WMPID2428,1,Y,"GONZALES, CHRISTOPHER",H0CA45160,H,CA,46,REP,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Christopher Gonzales,Christopher,Gonzales
WMPID2333,0,,"MATHEWS, PETER",H0CA47166,H,CA,42,DEM,CHALLENGER,6/7/2022,,,,0,M,M,0,N,Asian/Pacific Islander,AP,NULL,N,0,Peter Mathews,Peter,Mathews
WMPID87,1,Y,"ISSA, DARRELL",H0CA48024,H,CA,48,REP,INCUMBENT,6/7/2022,House,Won,7-Jun,1,M,M,0,N,Middle East North Africa,M,NULL,Y,0,Darrell Issa,Darrell,Issa
WMPID2423,0,,"BURLEY, BRIAN J MR.",H0CA48172,H,CA,47,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,n,White,W,NULL,N,0,Brian Burley,Brian,Burley
WMPID86,1,Y,"STEEL, MICHELLE",H0CA48198,H,CA,45,REP,INCUMBENT,6/7/2022,,,,0,F,F,0,N,Asian/Pacific Islander,AP,NULL,N,0,Michelle Steel,Michelle,Steel
WMPID2832,0,,"ABED, SAM",H0CA50129,H,CA,50,REP,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Sam Abed,Sam,Abed
WMPID2488,0,,"JAHN, LUCINDA KWH",H0CA50210,H,CA,48,NNE,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,White,W,NULL,NULL,0,Lucinda Kwh Jahn,Lucinda Kwh,Jahn
WMPID88,0,,"DEBELLO, JAMES",H0CA52083,H,CA,52,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,James Debello,Jim,Debello
WMPID3858,0,,"VALDEZ, DONALD",H0CO03132,H,CO,3,DEM,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Donald Valdez,Donald,Valdez
WMPID96,1,Y,"BOEBERT, LAUREN",H0CO03165,H,CO,3,REP,INCUMBENT,6/7/2022,House,Won,28-Jun,1,F,F,0,n,White,W,NULL,n,0,Lauren Boebert,Lauren,Boebert
WMPID97,0,,"MILTON, CHRISTOPHER",H0CO03173,H,CO,6,OTH,CHALLENGER,9/29/2022,,,,,UNK,,,,NULL,,,,0,Chris Milton,Chris,Milton
WMPID98,1,Y,"MCCORKLE, ISAAC IAN",H0CO04197,H,CO,4,DEM,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Isaac McCorkle,Isaac,McCorkle
WMPID100,0,,"KELTIE, REBECCA",H0CO05152,H,CO,5,REP,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Rebecca Keltie,Rebecca,Keltie
WMPID105,0,,"GRIFFIN, JIM",H0CT01134,H,CT,1,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Jim Griffin,Jim,Griffin
WMPID109,1,Y,"DELAURO, ROSA L",H0CT03072,H,CT,3,DEM,INCUMBENT,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,Rosa L DeLauro,Rosa,Delauro
WMPID111,1,Y,"PAGLINO, JUSTIN COBB DR MD, PHD",H0CT03163,H,CT,3,GRE,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Justin Paglino,Justin,Paglino
WMPID4664,0,,"ELGIN, TJ",H0CT04203,H,CT,4,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Tj Elgin,Tj,Elgin
WMPID1889,0,,"MERLEN, BRIAN",H0CT04211,H,CT,4,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Brian Merlen,Brian,Merlen
WMPID2737,0,,"GOLDSTEIN, MICHAEL",H0CT04229,H,CT,4,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,n,White,W,NULL,n,0,Michael Goldstein,Michael,Goldstein
WMPID115,1,Y,"NORTON, ELEANOR HOLMES",H0DC00058,H,DC,0,DEM,INCUMBENT,6/7/2022,,,,0,F,F,0,N,Black,B,NULL,N,0,Eleanor Holmes Norton,Eleanor Holmes,Norton
WMPID4320,0,,"MAYE, GREG",H0DC01023,H,DC,0,DEM,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Greg Maye,Greg,Maye
WMPID5148,1,Y,"ROGERS, DAVID L.",H0DE00159,H,DE,0,OTH,CHALLENGER,9/29/2022,,,,,UNK,,,,NULL,,,,0,David Rogers,David,Rogers
WMPID4494,1,Y,"MERK, GREGORY CHARLES CHARLES",H0FL01146,H,FL,1,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Gregory Charles Merk,Gregory Charles,Merk
WMPID122,1,Y,"LAWSON, ALFRED JR",H0FL02086,H,FL,5,DEM,INCUMBENT,6/7/2022,,,,0,M,M,0,N,Black,B,NULL,N,0,Al Lawson,Al,Lawson
WMPID124,1,Y,"CAMMACK, KAT",H0FL03175,H,FL,3,REP,INCUMBENT,6/7/2022,House,-,23-Aug,1,F,F,0,N,White,W,NULL,N,0,Kat Cammack,Kat,Cammack
WMPID127,1,Y,"KONIZ, GARY L",H0FL04116,H,FL,4,W,,9/29/2022,,,,,UNK,,,,NULL,,,,0,Gary Koniz,Gary,Koniz
WMPID3921,1,Y,"AGUILAR, ERICK JAVIER",H0FL04140,H,FL,4,REP,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Erick Javier Aguilar,Erick Javier,Aguilar
WMPID4468,0,,"THRIPP, RICHARD",H0FL06111,H,FL,6,DEM,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Richard Thripp,Richard,Thripp
WMPID132,0,,"NOLAN, JOHN GERARD MR.",H0FL06145,H,FL,6,NPA,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Gerry Nolan,Gerry,Nolan
WMPID136,1,Y,"WEBSTER, DANIEL",H0FL08208,H,FL,11,REP,INCUMBENT,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Daniel Webster,Daniel,Webster
WMPID4347,1,Y,"ORTIZ, SERGIO E",H0FL09073,H,FL,9,REP,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Sergio Ortiz,Sergio,Ortiz
WMPID138,0,,"OLSON, WILLIAM",H0FL09081,H,FL,9,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,n,White,W,NULL,N,0,Bill Olson,Bill,Olson
WMPID3114,1,Y,"CASTILLO, JOSE",H0FL09115,H,FL,9,REP,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Jose Castillo,Jose,Castillo
WMPID4560,0,,"WALLS-WINDHAUSER, ANGELA",H0FL10097,H,FL,10,REP,OPEN,6/7/2022,,,,0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Angela Marie Walls-Windhauser,Angela Marie,Walls-Windhauser
WMPID2107,1,Y,"MONTAGUE, WILLIE",H0FL10113,H,FL,10,REP,OPEN,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Willie Montague,Willie,Montague
WMPID4623,0,,"MAKKI, AMANDA",H0FL13133,H,FL,13,REP,OPEN,6/7/2022,,,,0,F,F,0,N,Middle East North Africa,M,NULL,Y,0,Amanda Makki,Amanda,Makki
WMPID144,1,Y,"PAULINA LUNA, ANNA",H0FL13158,H,FL,13,REP,OPEN,6/7/2022,House,-,23-Aug,1,F,F,0,N,White,W,NULL,N,0,Anna Paulina Luna,Anna Paulina,Luna
WMPID145,1,Y,"CURNOW, JACOB",H0FL13190,H,FL,13,W,,9/29/2022,,,,,UNK,,,,NULL,,,,0,Jacob Curnow,Jacob,Curnow
WMPID4271,0,,"PHILIPPE, JESSE",H0FL15070,H,FL,15,DEM,CHALLENGER,6/7/2022,,,,0,M,M,0,n,White,W,NULL,N,0,Jesse Philippe,Jesse,Philippe
WMPID147,1,Y,"FRANKLIN, SCOTT MR.",H0FL15104,H,FL,18,REP,INCUMBENT,6/7/2022,,,,0,M,M,0,n,White,W,NULL,n,0,Scott Franklin,Scott,Franklin
WMPID149,1,Y,"WILSON, FREDERICA S.",H0FL17068,H,FL,24,DEM,INCUMBENT,6/7/2022,,,,0,F,F,0,N,Black,B,NULL,N,0,Frederica Wilson,Frederica,Wilson
WMPID151,1,Y,"MURRAY, THEODORE ANDREW",H0FL17175,H,FL,17,NON,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Theodore Murray,Theodore,Murray
WMPID155,1,Y,"BANYAI, CINDY LYN",H0FL19106,H,FL,19,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,n,White,W,NULL,n,0,Cindy Lyn Banyai,Cindy Lyn,Banyai
WMPID2265,1,Y,"AQUINO, DARREN DIONE MR.",H0FL19163,H,FL,25,REP,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Darren Dione Aquino,Darren Dione,Aquino
WMPID160,1,Y,"POST, PATRICK",H0FL19254,H,FL,19,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Patrick Post,Patrick,Post
WMPID1834,1,Y,"JONES, LATERESA ANN",H0FL20112,H,FL,10,REP,CHALLENGER,6/7/2022,,,,0,F,F,0,N,Black,B,NULL,N,0,Lateresa Ann Jones,Lateresa Ann,Jones
WMPID161,0,,"MUSSELWHITE, GREGORY WAYNE SR.",H0FL20120,H,FL,20,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Greg Musselwhite,Greg,Musselwhite
WMPID369,0,,"MILLER, ERVAN KATARI",H0FL20146,H,FL,20,REP,OPEN,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Ervan Katari Miller,Ervan Katari,Miller
WMPID163,1,Y,"LOOMER, LAURA",H0FL21078,H,FL,11,REP,CHALLENGER,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,0,Laura Loomer,Laura,Loomer
WMPID3532,0,,"MOHAMMAD, IMTIAZ AHMAD",H0FL22092,H,FL,22,DEM,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Imtiaz Ahmad Mohammad,Imtiaz Ahmad,Mohammad
WMPID166,1,Y,"PRUDEN, JAMES L.",H0FL22118,H,FL,23,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Jim Pruden,Jim,Pruden
WMPID4162,1,Y,"SCOTT, CHRISTINE",H0FL22126,H,FL,23,NPA,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Christine Scott,Christine,Scott
WMPID169,1,Y,"SPALDING, CARLA A",H0FL23090,H,FL,25,REP,CHALLENGER,6/7/2022,,,,0,F,F,0,N,Black,B,NULL,N,0,Carla Spalding,Carla,Spalding
WMPID172,1,Y,"SPICER, LAVERN",H0FL24205,H,FL,24,REP,CHALLENGER,6/7/2022,,,,0,F,F,0,N,Black,B,NULL,N,0,Lavern Spicer,Lavern,Spicer
WMPID175,1,Y,"GIMENEZ, CARLOS",H0FL26036,H,FL,28,REP,INCUMBENT,6/7/2022,House,-,23-Aug,1,M,M,0,n,White,W,NULL,n,0,Carlos Gimenez,Carlos,Gimenez
WMPID178,0,,"GRIGGS, JOYCE MARIE",H0GA01029,H,GA,1,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,n,Black,B,NULL,n,0,Joyce Griggs,Joyce,Griggs
WMPID180,1,Y,"ALMONORD, VALBRUN DR.",H0GA03074,H,GA,3,DEM,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Valbrun Almonord,Valbrun,Almonord
WMPID4525,0,,"HICKS, ANTONIO CORTEZ",H0GA04122,H,GA,4,DEM,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Antonio Cortez Hicks,Antonio Cortez,Hicks
WMPID185,1,Y,"WILLIAMS, NIKEMA NATASSHA",H0GA05301,H,GA,5,DEM,INCUMBENT,6/7/2022,,,,0,F,F,,NULL,Black,B,NULL,NULL,0,Nikema Williams,Nikema,Williams
WMPID189,1,Y,"GREENE, MARJORIE TAYLOR MRS.",H0GA06192,H,GA,14,REP,INCUMBENT,6/7/2022,House,Won,24-May,1,F,F,0,N,White,W,NULL,N,0,Marjorie Greene,Marjorie,Greene
WMPID1943,0,,"HARBIN, BLAKE",H0GA06200,H,GA,6,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,White,W,NULL,NULL,0,Blake Harbin,Blake,Harbin
WMPID3537,0,,"SMITH, PAULETTE MISS",H0GA06226,H,GA,6,REP,CHALLENGER,6/7/2022,,,,0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Paulette Smith,Paulette,Smith
WMPID1902,1,Y,"GONSALVES, MARK",H0GA07232,H,GA,7,REP,,6/7/2022,,,,,M,M,,NULL,NULL,NULL,NULL,NULL,0,Mark Gonsalves,Mark,Gonsalves
WMPID191,1,Y,"MCCORMICK, RICHARD DEAN DR.",H0GA07273,H,GA,6,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Richard McCormick,Rich,Mccormick
WMPID4940,0,,"BABBAGE, LISA NOEL DR.",H0GA07307,H,GA,7,REP,,7/12/2022,,,,,UNK,,,,NULL,,,,0,Lisa Noel Babbage,Lisa Noel,Babbage
WMPID192,1,Y,"SCOTT, JAMES AUSTIN",H0GA08099,H,GA,8,REP,INCUMBENT,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Austin Scott,Austin,Scott
WMPID1628,0,,"BOGGUS, MICHAEL SHANE",H0GA09196,H,GA,9,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Michael Shane Boggus,Michael Shane,Boggus
WMPID195,1,Y,"CLYDE, ANDREW",H0GA09246,H,GA,9,REP,INCUMBENT,6/7/2022,House,Won,24-May,1,M,M,0,n,White,W,NULL,n,0,Andrew Clyde,Andrew,Clyde
WMPID197,1,Y,"JOHNSON, ELIZABETH",H0GA12059,H,GA,12,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,n,Black,B,NULL,n,0,Liz Johnson,Liz,Johnson
WMPID3294,1,Y,"GONZALES, CAESAR",H0GA13149,H,GA,13,REP,CHALLENGER,6/7/2022,,,,0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Caesar Gonzales,Caesar,Gonzales
WMPID202,0,,"GIUFFRE, JOHN (RAGHU)",H0HI01223,H,HI,2,N,,6/28/2022,,,,0,UNK,,,,NULL,,,,0,John Giuffre,Raghu,Giuffre
WMPID206,1,Y,"AKANA, JOSEPH",H0HI02213,H,HI,2,REP,,6/28/2022,,,,0,M,M,0,N,Asian/Pacific Islander,A,NULL,N,0,Joe Akana,Joe,Akana
WMPID209,1,Y,"ARENHOLZ, ASHLEY HINSON",H0IA01174,H,IA,2,REP,INCUMBENT,6/7/2022,House,Won,7-Jun,1,F,F,0,N,White,W,NULL,N,0,Ashley Hinson,Ashley,Hinson
WMPID212,1,Y,"FEENSTRA, RANDALL",H0IA04145,H,IA,4,REP,INCUMBENT,6/7/2022,House,Won,7-Jun,1,M,M,0,N,White,W,NULL,N,0,Randy Feenstra,Randy,Feenstra
WMPID2692,0,,"GUILLEMETTE, JOANNE",H0IL01145,H,IL,16,REP,OPEN,6/7/2022,,,,0,F,F,,NULL,Black,B,NULL,NULL,0,Joanne Guillemette,Joanne,Guillemette
WMPID217,0,,"WHITE, PHILANISE",H0IL01194,H,IL,1,REP,,6/7/2022,,,,0,F,F,0,N,Black,B,NULL,N,0,Philanise White,Philanise,White
WMPID1927,0,,"MATTHEWS, AMEENA",H0IL01210,H,IL,1,DEM,OPEN,6/7/2022,,,,0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Ameena Matthews,Ameena,Matthews
WMPID3471,0,,"O'SHEA, CATHERINE ANNE MS",H0IL03125,H,IL,6,REP,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Catherine Anne O'Shea,Catherine Anne,O'Shea
WMPID4913,0,,"HUGHES, CHARLES M",H0IL03133,H,IL,6,DEM,,7/5/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Charles Hughes,Charles,Hughes
WMPID222,1,Y,"QUIGLEY, MIKE",H0IL05096,H,IL,5,DEM,INCUMBENT,6/7/2022,,,,0,M,M,0,N,White,W,NULL,N,0,Mike Quigley,Mike,Quigley
WMPID4039,0,,"COLLINS, KINA ISIS",H0IL07167,H,IL,7,DEM,CHALLENGER,6/7/2022,,,,0,F,F,0,N,Black,B,NULL,N,0,Kina Isis Collins,Kina Isis,Collins
WMPID4117,0,,"WANG, ANDREW",H0IL10369,H,IL,10,DEM,CHALLENGER,6/7/2022,,,,0,UNK,,,,NULL,,,,0,Andrew Wang,Andrew,Wang
WMPID228,1,Y,"SEVERINO, JOSEPH",H0IL10393,H,IL,10,REP,CHALLENGER,6/7/2022,,,,0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Joseph Severino,Joseph,Severino
WMPID2145,0,,"BANSAL, KRISHNA K",H0IL11128,H,IL,11,REP,CHALLENGER,6/7/2022,,,,0,M,M,0,N,Asian/Pacific Islander,AP,NULL,N,0,Krishna Bansal,Krishna,Bansal
WMPID233,1,Y,"MILLER, MARY",H0IL15129,H,IL,15,REP,INCUMBENT,6/7/2022,House,Won,28-Jun,1,F,F,0,N,White,W,NULL,N,0,Mary Miller,Mary,Miller
WMPID236,1,Y,"KING, ESTHER JOY",H0IL17083,H,IL,17,REP,OPEN,6/7/2022,,,,0,F,F,0,N,White,W,NULL,N,1,Esther Joy King,Esther Joy,King
