cand_id,wmpid,genelect_cd,CurrCand,cand_name,cand_office,cand_office_st,cand_office_dist,cand_party_affiliation,cand_incumbent_challenger_open_s,dateadded_cd,office_wapo,result_wapo,primarydate_wapo,trumpe_wapo,gender_wmp,gender_crp,latino_wmp,latino_crp,race_wmp,race_crp1,race_crp2,race_crpmena,hse_cmpt_gen,full_name,first_name,last_name,st_dist
H0CA10073,WMPID54,1,Y,"DESAULNIER, MARK",H,CA,10,DEM,INCUMBENT,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Mark Desaulnier,Mark,Desaulnier,CA10
H0CA10149,WMPID55,1,Y,"GARAMENDI, JOHN",H,CA,8,DEM,INCUMBENT,6/7/2022,"","","",0,M,M,1,Y,White,W,H,N,0,John Garamendi,John,Garamendi,CA8
H0CA15247,WMPID58,1,Y,"HAYDEN, ALISON",H,CA,14,REP,CHALLENGER,6/7/2022,"","","",0,F,F,0,N,White,W,NULL,N,0,Alison Hayden,Alison,Hayden,CA14
H0CA17193,WMPID61,1,Y,"TANDON, RITESH",H,CA,17,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,Asian/Pacific Islander,AP,NULL,N,0,Ritesh Tandon,Ritesh,Tandon,CA17
H0CA18068,WMPID62,1,Y,"KUMAR, RISHI",H,CA,16,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,Asian/Pacific Islander,AP,NULL,N,0,Rishi Kumar,Rishi,Kumar,CA16
H0CA19173,WMPID3365,0,"","DENHAM, JEFF",H,CA,10,REP,CHALLENGER,6/7/2022,"","","",0,UNK,"",,"",NULL,"","","",0,Jeff Denham,Jeff,Denham,CA10
H0CA20122,WMPID63,1,Y,"GORMAN, JEFF",H,CA,19,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,n,White,W,NULL,n,0,Jeff Gorman,Jeff,Gorman,CA19
H0CA22102,WMPID64,0,"","ARBALLO, PHIL",H,CA,13,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Phil Arballo,Phil,Arballo,CA13
H0CA22110,WMPID1717,0,"","GARCIA, ERIC",H,CA,22,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,1,Y,Hispanic/Latino,H,NULL,NULL,0,Eric Garcia,Eric,Garcia,CA22
H0CA25105,WMPID67,1,Y,"GARCIA, MICHAEL",H,CA,27,REP,INCUMBENT,6/7/2022,"","","",0,M,M,1,Y,Hispanic/Latino,H,NULL,N,1,Mike Garcia,Mike,Garcia,CA27
H0CA25139,WMPID3833,0,"","RUDNICK, FREDERICK D MR.",H,CA,27,REP,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Frederick Rudnick,Frederick,Rudnick,CA27
H0CA25154,WMPID68,1,Y,"SMITH, CHRISTY",H,CA,27,DEM,CHALLENGER,6/7/2022,"","","",0,F,F,0,N,White,W,NULL,N,1,Christy Smith,Christy,Smith,CA27
H0CA26145,WMPID69,0,"","KENNEDY, RONDA",H,CA,30,REP,CHALLENGER,6/7/2022,"","","",0,F,F,0,N,Black,B,NULL,N,0,Ronda Kennedy,Ronda,Kennedy,CA30
H0CA27085,WMPID70,1,Y,"SCHIFF, ADAM",H,CA,30,DEM,INCUMBENT,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Adam Schiff,Adam,Schiff,CA30
H0CA27127,WMPID71,0,"","NALBANDIAN, JOHNNY",H,CA,30,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,Soviet,N,0,Johnny Nalbandian,Johnny,Nalbandian,CA30
H0CA28174,WMPID3032,1,Y,"PUDLO, G MAEBE A. GIRL",H,CA,30,DEM,CHALLENGER,6/7/2022,"","","",0,F,F,0,N,White,W,NULL,N,0,G Maebe A. Girl Pudlo,G Maebe A. Girl,Pudlo,CA30
H0CA30139,WMPID2835,0,"","FABRICANT, DANNY",H,CA,30,REP,CHALLENGER,6/7/2022,"","","",0,UNK,"",,"",NULL,"","","",0,Danny Fabricant,Danny,Fabricant,CA30
H0CA32101,WMPID75,1,Y,"CHU, JUDY",H,CA,28,DEM,INCUMBENT,6/7/2022,"","","",0,F,F,0,N,Asian/Pacific Islander,AP,NULL,N,0,Judy Chu,Judy,Chu,CA28
H0CA33158,WMPID2246,0,"","GRIFFIN, MORRIS F",H,CA,44,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,Black,B,NULL,NULL,0,Morris Griffin,Morris,Griffin,CA44
H0CA33216,WMPID2535,0,"","LIEW, SARAH SUN DR.",H,CA,33,REP,CHALLENGER,6/7/2022,"","","",0,UNK,"",,"",NULL,"","","",0,Sarah Liew,Sarah,Liew,CA33
H0CA35146,WMPID78,1,Y,"CARGILE, MIKE",H,CA,35,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Mike Cargile,Mike,Cargile,CA35
H0CA38140,WMPID1835,1,Y,"JONES, PAUL IRVING REVEREND",H,CA,38,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Paul Irving Jones,Paul Irving,Jones,CA38
H0CA40120,WMPID4017,0,"","FELIX, ANTHONY DR. JR.",H,CA,40,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Anthony Felix,Anthony,Felix,CA40
H0CA42217,WMPID83,0,"","O'MARA, WILLIAM EDWARD DR IV",H,CA,42,DEM,CHALLENGER,6/7/2022,"","","",0,UNK,"",,"",NULL,"","","",0,Liam O'Mara,Liam,O'Mara,CA42
H0CA43074,WMPID4641,0,"","JAFRI, KHALID",H,CA,9,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Khalid Jafri,Khalid,Jafri,CA9
H0CA43108,WMPID84,1,Y,"COLLINS, JOE E III",H,CA,36,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,Black,B,NULL,N,0,Joe Collins,Joe,Collins,CA36
H0CA45160,WMPID2428,1,Y,"GONZALES, CHRISTOPHER",H,CA,46,REP,CHALLENGER,6/7/2022,"","","",0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Christopher Gonzales,Christopher,Gonzales,CA46
H0CA47166,WMPID2333,0,"","MATHEWS, PETER",H,CA,42,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,Asian/Pacific Islander,AP,NULL,N,0,Peter Mathews,Peter,Mathews,CA42
H0CA48024,WMPID87,1,Y,"ISSA, DARRELL",H,CA,48,REP,INCUMBENT,6/7/2022,House,Won,7-Jun,1,M,M,0,N,Middle East North Africa,M,NULL,Y,0,Darrell Issa,Darrell,Issa,CA48
H0CA48172,WMPID2423,0,"","BURLEY, BRIAN J MR.",H,CA,47,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,n,White,W,NULL,N,0,Brian Burley,Brian,Burley,CA47
H0CA48198,WMPID86,1,Y,"STEEL, MICHELLE",H,CA,45,REP,INCUMBENT,6/7/2022,"","","",0,F,F,0,N,Asian/Pacific Islander,AP,NULL,N,0,Michelle Steel,Michelle,Steel,CA45
H0CA50129,WMPID2832,0,"","ABED, SAM",H,CA,50,REP,CHALLENGER,6/7/2022,"","","",0,UNK,"",,"",NULL,"","","",0,Sam Abed,Sam,Abed,CA50
H0CA50210,WMPID2488,0,"","JAHN, LUCINDA KWH",H,CA,48,NNE,CHALLENGER,6/7/2022,"","","",0,F,F,,NULL,White,W,NULL,NULL,0,Lucinda Kwh Jahn,Lucinda Kwh,Jahn,CA48
H0CA52083,WMPID88,0,"","DEBELLO, JAMES",H,CA,52,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,James Debello,Jim,Debello,CA52
H0CO03132,WMPID3858,0,"","VALDEZ, DONALD",H,CO,3,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Donald Valdez,Donald,Valdez,CO3
H0CO03165,WMPID96,1,Y,"BOEBERT, LAUREN",H,CO,3,REP,INCUMBENT,6/7/2022,House,Won,28-Jun,1,F,F,0,n,White,W,NULL,n,0,Lauren Boebert,Lauren,Boebert,CO3
H0CO03173,WMPID97,0,"","MILTON, CHRISTOPHER",H,CO,6,OTH,CHALLENGER,9/29/2022,"","","",,UNK,"",,"",NULL,"","","",0,Chris Milton,Chris,Milton,CO6
H0CO04197,WMPID98,1,Y,"MCCORKLE, ISAAC IAN",H,CO,4,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Isaac McCorkle,Isaac,McCorkle,CO4
H0CO05152,WMPID100,0,"","KELTIE, REBECCA",H,CO,5,REP,CHALLENGER,6/7/2022,"","","",0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Rebecca Keltie,Rebecca,Keltie,CO5
H0CT01134,WMPID105,0,"","GRIFFIN, JIM",H,CT,1,REP,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Jim Griffin,Jim,Griffin,CT1
H0CT03072,WMPID109,1,Y,"DELAURO, ROSA L",H,CT,3,DEM,INCUMBENT,6/7/2022,"","","",0,F,F,0,N,White,W,NULL,N,0,Rosa L DeLauro,Rosa,Delauro,CT3
H0CT03163,WMPID111,1,Y,"PAGLINO, JUSTIN COBB DR MD, PHD",H,CT,3,GRE,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Justin Paglino,Justin,Paglino,CT3
H0CT04203,WMPID4664,0,"","ELGIN, TJ",H,CT,4,REP,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Tj Elgin,Tj,Elgin,CT4
H0CT04211,WMPID1889,0,"","MERLEN, BRIAN",H,CT,4,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Brian Merlen,Brian,Merlen,CT4
H0CT04229,WMPID2737,0,"","GOLDSTEIN, MICHAEL",H,CT,4,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,n,White,W,NULL,n,0,Michael Goldstein,Michael,Goldstein,CT4
H0DC00058,WMPID115,1,Y,"NORTON, ELEANOR HOLMES",H,DC,0,DEM,INCUMBENT,6/7/2022,"","","",0,F,F,0,N,Black,B,NULL,N,0,Eleanor Holmes Norton,Eleanor Holmes,Norton,DC0
H0DC01023,WMPID4320,0,"","MAYE, GREG",H,DC,0,DEM,CHALLENGER,6/7/2022,"","","",0,UNK,"",,"",NULL,"","","",0,Greg Maye,Greg,Maye,DC0
H0DE00159,WMPID5148,1,Y,"ROGERS, DAVID L.",H,DE,0,OTH,CHALLENGER,9/29/2022,"","","",,UNK,"",,"",NULL,"","","",0,David Rogers,David,Rogers,DE0
H0FL01146,WMPID4494,1,Y,"MERK, GREGORY CHARLES CHARLES",H,FL,1,REP,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Gregory Charles Merk,Gregory Charles,Merk,FL1
H0FL02086,WMPID122,1,Y,"LAWSON, ALFRED JR",H,FL,5,DEM,INCUMBENT,6/7/2022,"","","",0,M,M,0,N,Black,B,NULL,N,0,Al Lawson,Al,Lawson,FL5
H0FL03175,WMPID124,1,Y,"CAMMACK, KAT",H,FL,3,REP,INCUMBENT,6/7/2022,House,-,23-Aug,1,F,F,0,N,White,W,NULL,N,0,Kat Cammack,Kat,Cammack,FL3
H0FL04116,WMPID127,1,Y,"KONIZ, GARY L",H,FL,4,W,"",9/29/2022,"","","",,UNK,"",,"",NULL,"","","",0,Gary Koniz,Gary,Koniz,FL4
H0FL04140,WMPID3921,1,Y,"AGUILAR, ERICK JAVIER",H,FL,4,REP,CHALLENGER,6/7/2022,"","","",0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Erick Javier Aguilar,Erick Javier,Aguilar,FL4
H0FL06111,WMPID4468,0,"","THRIPP, RICHARD",H,FL,6,DEM,CHALLENGER,6/7/2022,"","","",0,UNK,"",,"",NULL,"","","",0,Richard Thripp,Richard,Thripp,FL6
H0FL06145,WMPID132,0,"","NOLAN, JOHN GERARD MR.",H,FL,6,NPA,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Gerry Nolan,Gerry,Nolan,FL6
H0FL08208,WMPID136,1,Y,"WEBSTER, DANIEL",H,FL,11,REP,INCUMBENT,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Daniel Webster,Daniel,Webster,FL11
H0FL09073,WMPID4347,1,Y,"ORTIZ, SERGIO E",H,FL,9,REP,CHALLENGER,6/7/2022,"","","",0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Sergio Ortiz,Sergio,Ortiz,FL9
H0FL09081,WMPID138,0,"","OLSON, WILLIAM",H,FL,9,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,n,White,W,NULL,N,0,Bill Olson,Bill,Olson,FL9
H0FL09115,WMPID3114,1,Y,"CASTILLO, JOSE",H,FL,9,REP,CHALLENGER,6/7/2022,"","","",0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Jose Castillo,Jose,Castillo,FL9
H0FL10097,WMPID4560,0,"","WALLS-WINDHAUSER, ANGELA",H,FL,10,REP,OPEN,6/7/2022,"","","",0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Angela Marie Walls-Windhauser,Angela Marie,Walls-Windhauser,FL10
H0FL10113,WMPID2107,1,Y,"MONTAGUE, WILLIE",H,FL,10,REP,OPEN,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Willie Montague,Willie,Montague,FL10
H0FL13133,WMPID4623,0,"","MAKKI, AMANDA",H,FL,13,REP,OPEN,6/7/2022,"","","",0,F,F,0,N,Middle East North Africa,M,NULL,Y,0,Amanda Makki,Amanda,Makki,FL13
H0FL13158,WMPID144,1,Y,"PAULINA LUNA, ANNA",H,FL,13,REP,OPEN,6/7/2022,House,-,23-Aug,1,F,F,0,N,White,W,NULL,N,0,Anna Paulina Luna,Anna Paulina,Luna,FL13
H0FL13190,WMPID145,1,Y,"CURNOW, JACOB",H,FL,13,W,"",9/29/2022,"","","",,UNK,"",,"",NULL,"","","",0,Jacob Curnow,Jacob,Curnow,FL13
H0FL15070,WMPID4271,0,"","PHILIPPE, JESSE",H,FL,15,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,0,n,White,W,NULL,N,0,Jesse Philippe,Jesse,Philippe,FL15
H0FL15104,WMPID147,1,Y,"FRANKLIN, SCOTT MR.",H,FL,18,REP,INCUMBENT,6/7/2022,"","","",0,M,M,0,n,White,W,NULL,n,0,Scott Franklin,Scott,Franklin,FL18
H0FL17068,WMPID149,1,Y,"WILSON, FREDERICA S.",H,FL,24,DEM,INCUMBENT,6/7/2022,"","","",0,F,F,0,N,Black,B,NULL,N,0,Frederica Wilson,Frederica,Wilson,FL24
H0FL17175,WMPID151,1,Y,"MURRAY, THEODORE ANDREW",H,FL,17,NON,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Theodore Murray,Theodore,Murray,FL17
H0FL19106,WMPID155,1,Y,"BANYAI, CINDY LYN",H,FL,19,DEM,CHALLENGER,6/7/2022,"","","",0,F,F,0,n,White,W,NULL,n,0,Cindy Lyn Banyai,Cindy Lyn,Banyai,FL19
H0FL19163,WMPID2265,1,Y,"AQUINO, DARREN DIONE MR.",H,FL,25,REP,CHALLENGER,6/7/2022,"","","",0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Darren Dione Aquino,Darren Dione,Aquino,FL25
H0FL19254,WMPID160,1,Y,"POST, PATRICK",H,FL,19,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Patrick Post,Patrick,Post,FL19
H0FL20112,WMPID1834,1,Y,"JONES, LATERESA ANN",H,FL,10,REP,CHALLENGER,6/7/2022,"","","",0,F,F,0,N,Black,B,NULL,N,0,Lateresa Ann Jones,Lateresa Ann,Jones,FL10
H0FL20120,WMPID161,0,"","MUSSELWHITE, GREGORY WAYNE SR.",H,FL,20,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Greg Musselwhite,Greg,Musselwhite,FL20
H0FL20146,WMPID369,0,"","MILLER, ERVAN KATARI",H,FL,20,REP,OPEN,6/7/2022,"","","",0,UNK,"",,"",NULL,"","","",0,Ervan Katari Miller,Ervan Katari,Miller,FL20
H0FL21078,WMPID163,1,Y,"LOOMER, LAURA",H,FL,11,REP,CHALLENGER,6/7/2022,"","","",0,F,F,0,N,White,W,NULL,N,0,Laura Loomer,Laura,Loomer,FL11
H0FL22092,WMPID3532,0,"","MOHAMMAD, IMTIAZ AHMAD",H,FL,22,DEM,CHALLENGER,6/7/2022,"","","",0,UNK,"",,"",NULL,"","","",0,Imtiaz Ahmad Mohammad,Imtiaz Ahmad,Mohammad,FL22
H0FL22118,WMPID166,1,Y,"PRUDEN, JAMES L.",H,FL,23,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Jim Pruden,Jim,Pruden,FL23
H0FL22126,WMPID4162,1,Y,"SCOTT, CHRISTINE",H,FL,23,NPA,CHALLENGER,6/7/2022,"","","",0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Christine Scott,Christine,Scott,FL23
H0FL23090,WMPID169,1,Y,"SPALDING, CARLA A",H,FL,25,REP,CHALLENGER,6/7/2022,"","","",0,F,F,0,N,Black,B,NULL,N,0,Carla Spalding,Carla,Spalding,FL25
H0FL24205,WMPID172,1,Y,"SPICER, LAVERN",H,FL,24,REP,CHALLENGER,6/7/2022,"","","",0,F,F,0,N,Black,B,NULL,N,0,Lavern Spicer,Lavern,Spicer,FL24
H0FL26036,WMPID175,1,Y,"GIMENEZ, CARLOS",H,FL,28,REP,INCUMBENT,6/7/2022,House,-,23-Aug,1,M,M,0,n,White,W,NULL,n,0,Carlos Gimenez,Carlos,Gimenez,FL28
H0GA01029,WMPID178,0,"","GRIGGS, JOYCE MARIE",H,GA,1,DEM,CHALLENGER,6/7/2022,"","","",0,F,F,0,n,Black,B,NULL,n,0,Joyce Griggs,Joyce,Griggs,GA1
H0GA03074,WMPID180,1,Y,"ALMONORD, VALBRUN DR.",H,GA,3,DEM,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Valbrun Almonord,Valbrun,Almonord,GA3
H0GA04122,WMPID4525,0,"","HICKS, ANTONIO CORTEZ",H,GA,4,DEM,CHALLENGER,6/7/2022,"","","",0,UNK,"",,"",NULL,"","","",0,Antonio Cortez Hicks,Antonio Cortez,Hicks,GA4
H0GA05301,WMPID185,1,Y,"WILLIAMS, NIKEMA NATASSHA",H,GA,5,DEM,INCUMBENT,6/7/2022,"","","",0,F,F,,NULL,Black,B,NULL,NULL,0,Nikema Williams,Nikema,Williams,GA5
H0GA06192,WMPID189,1,Y,"GREENE, MARJORIE TAYLOR MRS.",H,GA,14,REP,INCUMBENT,6/7/2022,House,Won,24-May,1,F,F,0,N,White,W,NULL,N,0,Marjorie Greene,Marjorie,Greene,GA14
H0GA06200,WMPID1943,0,"","HARBIN, BLAKE",H,GA,6,REP,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,White,W,NULL,NULL,0,Blake Harbin,Blake,Harbin,GA6
H0GA06226,WMPID3537,0,"","SMITH, PAULETTE MISS",H,GA,6,REP,CHALLENGER,6/7/2022,"","","",0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Paulette Smith,Paulette,Smith,GA6
H0GA07232,WMPID1902,1,Y,"GONSALVES, MARK",H,GA,7,REP,"",6/7/2022,"","","",,M,M,,NULL,NULL,NULL,NULL,NULL,0,Mark Gonsalves,Mark,Gonsalves,GA7
H0GA07273,WMPID191,1,Y,"MCCORMICK, RICHARD DEAN DR.",H,GA,6,REP,CHALLENGER,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Richard McCormick,Rich,Mccormick,GA6
H0GA07307,WMPID4940,0,"","BABBAGE, LISA NOEL DR.",H,GA,7,REP,"",7/12/2022,"","","",,UNK,"",,"",NULL,"","","",0,Lisa Noel Babbage,Lisa Noel,Babbage,GA7
H0GA08099,WMPID192,1,Y,"SCOTT, JAMES AUSTIN",H,GA,8,REP,INCUMBENT,6/7/2022,"","","",0,M,M,0,N,White,W,NULL,N,0,Austin Scott,Austin,Scott,GA8
H0GA09196,WMPID1628,0,"","BOGGUS, MICHAEL SHANE",H,GA,9,REP,CHALLENGER,6/7/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Michael Shane Boggus,Michael Shane,Boggus,GA9
H0GA09246,WMPID195,1,Y,"CLYDE, ANDREW",H,GA,9,REP,INCUMBENT,6/7/2022,House,Won,24-May,1,M,M,0,n,White,W,NULL,n,0,Andrew Clyde,Andrew,Clyde,GA9
H0GA12059,WMPID197,1,Y,"JOHNSON, ELIZABETH",H,GA,12,DEM,CHALLENGER,6/7/2022,"","","",0,F,F,0,n,Black,B,NULL,n,0,Liz Johnson,Liz,Johnson,GA12
H0GA13149,WMPID3294,1,Y,"GONZALES, CAESAR",H,GA,13,REP,CHALLENGER,6/7/2022,"","","",0,M,M,1,Y,Hispanic/Latino,H,NULL,N,0,Caesar Gonzales,Caesar,Gonzales,GA13
H0HI01223,WMPID202,0,"","GIUFFRE, JOHN (RAGHU)",H,HI,2,N,"",6/28/2022,"","","",0,UNK,"",,"",NULL,"","","",0,John Giuffre,Raghu,Giuffre,HI2
H0HI02213,WMPID206,1,Y,"AKANA, JOSEPH",H,HI,2,REP,"",6/28/2022,"","","",0,M,M,0,N,Asian/Pacific Islander,A,NULL,N,0,Joe Akana,Joe,Akana,HI2
H0IA01174,WMPID209,1,Y,"ARENHOLZ, ASHLEY HINSON",H,IA,2,REP,INCUMBENT,6/7/2022,House,Won,7-Jun,1,F,F,0,N,White,W,NULL,N,0,Ashley Hinson,Ashley,Hinson,IA2
H0IA04145,WMPID212,1,Y,"FEENSTRA, RANDALL",H,IA,4,REP,INCUMBENT,6/7/2022,House,Won,7-Jun,1,M,M,0,N,White,W,NULL,N,0,Randy Feenstra,Randy,Feenstra,IA4
H0IL01145,WMPID2692,0,"","GUILLEMETTE, JOANNE",H,IL,16,REP,OPEN,6/7/2022,"","","",0,F,F,,NULL,Black,B,NULL,NULL,0,Joanne Guillemette,Joanne,Guillemette,IL16
H0IL01194,WMPID217,0,"","WHITE, PHILANISE",H,IL,1,REP,"",6/7/2022,"","","",0,F,F,0,N,Black,B,NULL,N,0,Philanise White,Philanise,White,IL1
H0IL01210,WMPID1927,0,"","MATTHEWS, AMEENA",H,IL,1,DEM,OPEN,6/7/2022,"","","",0,F,F,,NULL,NULL,NULL,NULL,NULL,0,Ameena Matthews,Ameena,Matthews,IL1
H0IL03125,WMPID3471,0,"","O'SHEA, CATHERINE ANNE MS",H,IL,6,REP,CHALLENGER,6/7/2022,"","","",0,UNK,"",,"",NULL,"","","",0,Catherine Anne O'Shea,Catherine Anne,O'Shea,IL6
H0IL03133,WMPID4913,0,"","HUGHES, CHARLES M",H,IL,6,DEM,"",7/5/2022,"","","",0,M,M,,NULL,NULL,NULL,NULL,NULL,0,Charles Hughes,Charles,Hughes,IL6
