candidate_id,candidate,party,district,current_candidate,cyclecand,primary_results,crpico,fec_id,office,vs_candname,vs_race,vs_racecode,vs_filename,face_url,vs_canddetails,vs_statename,vs_filesize
N00003288,Bennie G Thompson ,D,MS02,Y,Y,W,I,H4MS02068,MS02,Bennie Thompson,"U.S. House
",H,USH_MS_BENNIE_THOMPSON.jpg,https://static.votesmart.org/static/canphoto/26929.jpg,"
                Bennie Thompson

                (Won)

                Democratic
",MISSISSIPPI,4146
N00003295,Mike Espy ,D,MSS1,Y,Y,W,C,S8MS00287,MSS1,Mike Espy,"U.S. Senate
",S,USS_MS_MIKE_ESPY.jpg,https://static.votesmart.org/static/canphoto/2142.jpg,"
                Mike Espy

                (Lost)

                Democratic
",MISSISSIPPI,4729
N00003389,Mitch McConnell ,R,KYS1,Y,Y,W,I,S2KY00012,KYS1,"Mitch McConnell, Jr.","U.S. Senate
",S,USS_KY_MITCH_MCCONNELL_JR.jpg,https://static.votesmart.org/static/canphoto/53298.jpg,"
                Mitch McConnell, Jr.

                (Won)

                Republican
",KENTUCKY,3738
N00003473,Hal Rogers ,R,KY05,Y,Y,W,I,H0KY05015,KY05,Hal Rogers,"U.S. House
",H,USH_KY_HAL_ROGERS.jpg,https://static.votesmart.org/static/canphoto/26875.jpg,"
                Hal Rogers

                (Won)

                Republican
",KENTUCKY,3801
N00003522,Marcy Kaptur ,D,OH09,Y,Y,W,I,H2OH09031,OH09,Marcia Kaptur,"U.S. House
",H,USH_OH_MARCIA_KAPTUR.jpg,https://static.votesmart.org/static/canphoto/27016.jpg,"
                Marcia Kaptur

                (Won)

                Democratic
",OHIO,4248
N00003689,Steve Chabot ,R,OH01,Y,Y,W,I,H8OH01043,OH01,Steve Chabot,"U.S. House
",H,USH_OH_STEVE_CHABOT.jpg,https://static.votesmart.org/static/canphoto/21790.jpg,"
                Steve Chabot

                (Won)

                Republican
",OHIO,4147
N00003796,Mark Leyva ,R,IN01,Y,Y,W,O,H8IN01096,IN01,"Mark Leyva, Sr.","U.S. House
",H,USH_IN_MARK_LEYVA_SR.jpg,https://static.votesmart.org/static/canphoto/18416.jpg,"
                Mark Leyva, Sr.

                (Lost)

                Republican
",INDIANA,4231
N00004133,Fred Upton ,R,MI06,Y,Y,W,I,H6MI04113,MI06,Fred Upton,"U.S. House
",H,USH_MI_FRED_UPTON.jpg,https://static.votesmart.org/static/canphoto/26906.jpg,"
                Fred Upton

                (Won)

                Republican
",MICHIGAN,3766
N00004403,Ron Kind ,D,WI03,Y,Y,W,I,H6WI03099,WI03,Ron Kind,"U.S. House
",H,USH_WI_RON_KIND.jpg,https://static.votesmart.org/static/canphoto/630.jpg,"
                Ron Kind

                (Won)

                Democratic
",WISCONSIN,6410
N00004558,Collin Peterson ,D,MN07,Y,Y,W,I,H2MN07014,MN07,Collin Peterson,"U.S. House
",H,USH_MN_COLLIN_PETERSON.jpg,https://static.votesmart.org/static/canphoto/26926.jpg,"
                Collin Peterson

                (Lost)

                Democratic/Farmer/Labor
",MINNESOTA,4775
N00004724,Jan Schakowsky ,D,IL09,Y,Y,W,I,H8IL09067,IL09,Jan Schakowsky,"U.S. House
",H,USH_IL_JAN_SCHAKOWSKY.jpg,https://static.votesmart.org/static/canphoto/6387.jpg,"
                Jan Schakowsky

                (Won)

                Democratic
",ILLINOIS,4946
N00004884,Danny K Davis ,D,IL07,Y,Y,W,I,H4IL07037,IL07,Danny Davis,"U.S. House
",H,USH_IL_DANNY_DAVIS.jpg,https://static.votesmart.org/static/canphoto/233.jpg,"
                Danny Davis

                (Won)

                Democratic
",ILLINOIS,4181
N00004887,Bobby L Rush ,D,IL01,Y,Y,W,I,H2IL01042,IL01,Bobby Rush,"U.S. House
",H,USH_IL_BOBBY_RUSH.jpg,https://static.votesmart.org/static/canphoto/26831.jpg,"
                Bobby Rush

                (Won)

                Democratic
",ILLINOIS,5055
N00004981,Dick Durbin ,D,ILS1,Y,Y,W,I,S6IL00151,ILS1,Dick Durbin,"U.S. Senate
",S,USS_IL_DICK_DURBIN.jpg,https://static.votesmart.org/static/canphoto/26847.jpg,"
                Dick Durbin

                (Won)

                Democratic
",ILLINOIS,3641
N00005076,Jim Higgins ,L,MO06,Y,Y,,C,H2MO02078,MO06,Jim Higgins,"U.S. House
",H,USH_MO_JIM_HIGGINS.jpg,https://static.votesmart.org/static/canphoto/1309.jpg,"
                Jim Higgins

                (Lost)

                Libertarian
",MISSOURI,4104
N00005531,Robert T. Murphy ,L,OKS2,Y,Y,,C,S6OK04098,OKS2,Robert Murphy,"U.S. Senate
",S,USS_OK_ROBERT_MURPHY.jpg,https://static.votesmart.org/static/canphoto/2470.jpg,"
                Robert Murphy

                (Lost)

                Libertarian
",OKLAHOMA,4075
N00005559,Frank D Lucas ,R,OK03,Y,Y,W,I,H4OK06056,OK03,Frank Lucas,"U.S. House
",H,USH_OK_FRANK_LUCAS.jpg,https://static.votesmart.org/static/canphoto/27032.jpg,"
                Frank Lucas

                (Won)

                Republican
",OKLAHOMA,4744
N00005582,James M Inhofe ,R,OKS2,Y,Y,W,I,S4OK00083,OKS2,Jim Inhofe,"U.S. Senate
",S,USS_OK_JIM_INHOFE.jpg,https://static.votesmart.org/static/canphoto/27027.jpg,"
                Jim Inhofe

                (Won)

                Republican
",OKLAHOMA,3798
N00005600,Evelyn Rogers ,I,OK01,Y,Y,,C,H6OK03165,OK01,Evelyn Rogers,"U.S. House
",H,USH_OK_EVELYN_ROGERS.jpg,https://static.votesmart.org/static/canphoto/55563.jpg,"
                Evelyn Rogers

                (Lost)

                Independent
",OKLAHOMA,4286
N00005681,Pete Sessions ,R,TX17,Y,Y,W,O,H2TX03126,TX17,Pete Sessions,"U.S. House
",H,USH_TX_PETE_SESSIONS.jpg,https://static.votesmart.org/static/canphoto/288.jpg,"
                Pete Sessions

                (Won)

                Republican
",TEXAS,3654
N00005697,Ken Ashby ,L,TX32,Y,Y,,C,H8TX05052,TX32,,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Ken-Ashby.jpg,,,
N00005736,Brian Babin ,R,TX36,Y,Y,W,I,H6TX02079,TX36,Brian Babin,"U.S. House
",H,USH_TX_BRIAN_BABIN.jpg,https://static.votesmart.org/static/canphoto/360.jpg,"
                Brian Babin

                (Won)

                Republican
",TEXAS,4356
N00005818,Sheila Jackson Lee ,D,TX18,Y,Y,W,I,H4TX18054,TX18,Sheila Jackson Lee,"U.S. House
",H,USH_TX_SHEILA_JACKSON_LEE.jpg,https://static.votesmart.org/static/canphoto/21692.jpg,"
                Sheila Jackson Lee

                (Won)

                Democratic
",TEXAS,5684
N00005883,Kevin Brady ,R,TX08,Y,Y,W,I,H6TX08100,TX08,Kevin Brady,"U.S. House
",H,USH_TX_KEVIN_BRADY.jpg,https://static.votesmart.org/static/canphoto/361.jpg,"
                Kevin Brady

                (Won)

                Republican
",TEXAS,3866
N00005981,Jeffrey Blunt ,L,TX20,Y,Y,,C,H8TX21125,TX20,Jeffrey Blunt,"U.S. House
",H,USH_TX_JEFFREY_BLUNT.jpg,https://static.votesmart.org/static/canphoto/25365.jpg,"
                Jeffrey Blunt

                (Lost)

                Libertarian
",TEXAS,3084
N00006023,Lloyd Doggett ,D,TX35,Y,Y,W,I,H4TX10028,TX35,Lloyd Doggett II,"U.S. House
",H,USH_TX_LLOYD_DOGGETT_II.jpg,https://static.votesmart.org/static/canphoto/21689.jpg,"
                Lloyd Doggett II

                (Won)

                Democratic
",TEXAS,3896
N00006134,Diana DeGette ,D,CO01,Y,Y,W,I,H6CO01141,CO01,Diana DeGette,"U.S. House
",H,USH_CO_DIANA_DEGETTE.jpg,https://static.votesmart.org/static/canphoto/561.jpg,"
                Diana DeGette

                (Won)

                Democratic
",COLORADO,4024
N00006159,Gary Swing ,3,COS2,Y,Y,,C,S0CO00542,COS2,Gary Swing,"U.S. House
",H,USH_CO_GARY_SWING.jpg,https://static.votesmart.org/static/canphoto/14995.jpg,"
                Gary Swing

                (Lost)

                Unity Party
",COLORADO,3772
N00006263,Mike Simpson ,R,ID02,Y,Y,,I,H8ID02064,ID02,Mike Simpson,"U.S. House
",H,USH_ID_MIKE_SIMPSON.jpg,https://static.votesmart.org/static/canphoto/2917.jpg,"
                Mike Simpson

                (Won)

                Republican
",IDAHO,3634
N00006460,David Schweikert ,R,AZ06,Y,Y,W,I,H4AZ06045,AZ06,David Schweikert,"U.S. House
",H,USH_AZ_DAVID_SCHWEIKERT.jpg,https://static.votesmart.org/static/canphoto/106387.jpg,"
                David Schweikert

                (Won)

                Republican
",ARIZONA,4220
N00006671,Lucille Roybal-Allard ,D,CA40,Y,Y,W,I,H2CA33048,CA40,Lucille Roybal-Allard,"U.S. House
",H,USH_CA_LUCILLE_ROYBAL-ALLARD.jpg,https://static.votesmart.org/static/canphoto/26766.jpg,"
                Lucille Roybal-Allard

                (Won)

                Democratic
",CALIFORNIA,4444
N00006690,Maxine Waters ,D,CA43,Y,Y,W,I,H4CA23011,CA43,Maxine Waters,"U.S. House
",H,USH_CA_MAXINE_WATERS.jpg,https://static.votesmart.org/static/canphoto/26759.jpg,"
                Maxine Waters

                (Won)

                Democratic
",CALIFORNIA,5479
N00006701,Mark Takano ,D,CA41,Y,Y,W,I,H2CA43245,CA41,Mark Takano,"U.S. House
",H,USH_CA_MARK_TAKANO.jpg,https://static.votesmart.org/static/canphoto/22337.jpg,"
                Mark Takano

                (Won)

                Democratic
",CALIFORNIA,4528
N00006789,Grace Napolitano ,D,CA32,Y,Y,W,I,H8CA34068,CA32,Grace Napolitano,"U.S. House
",H,USH_CA_GRACE_NAPOLITANO.jpg,https://static.votesmart.org/static/canphoto/8393.jpg,"
                Grace Napolitano

                (Won)

                Democratic
",CALIFORNIA,4661
N00006863,Tom McClintock ,R,CA04,Y,Y,W,I,H8CA04152,CA04,Tom McClintock,"U.S. House
",H,USH_CA_TOM_MCCLINTOCK.jpg,https://static.votesmart.org/static/canphoto/9715.jpg,"
                Tom McClintock

                (Won)

                Republican
",CALIFORNIA,3843
N00006897,Brad Sherman ,D,CA30,Y,Y,W,I,H6CA24113,CA30,Brad Sherman,"U.S. House
",H,USH_CA_BRAD_SHERMAN.jpg,https://static.votesmart.org/static/canphoto/142.jpg,"
                Brad Sherman

                (Won)

                Democratic
",CALIFORNIA,4546
N00007017,Darrell Issa ,R,CA50,Y,Y,W,O,H0CA50178,CA50,Darrell Issa,"U.S. House
",H,USH_CA_DARRELL_ISSA.jpg,https://static.votesmart.org/static/canphoto/16553.jpg,"
                Darrell Issa

                (Won)

                Republican
",CALIFORNIA,5534
N00007021,Juan Vargas ,D,CA51,Y,Y,W,I,H2CA50026,CA51,Juan Vargas,"U.S. House
",H,USH_CA_JUAN_VARGAS.jpg,https://static.votesmart.org/static/canphoto/29100.jpg,"
                Juan Vargas

                (Won)

                Democratic
",CALIFORNIA,4225
N00007099,Ken Calvert ,R,CA42,Y,Y,W,I,H2CA37023,CA42,Ken Calvert,"U.S. House
",H,USH_CA_KEN_CALVERT.jpg,https://static.votesmart.org/static/canphoto/26777.jpg,"
                Ken Calvert

                (Won)

                Republican
",CALIFORNIA,3685
N00007248,Devin Nunes ,R,CA22,Y,Y,W,I,H8CA20059,CA22,Devin Nunes,"U.S. House
",H,USH_CA_DEVIN_NUNES.jpg,https://static.votesmart.org/static/canphoto/16725.jpg,"
                Devin Nunes

                (Won)

                Republican
",CALIFORNIA,3756
N00007335,Anna Eshoo ,D,CA18,Y,Y,W,I,H8CA12098,CA18,Anna Eshoo,"U.S. House
",H,USH_CA_ANNA_ESHOO.jpg,https://static.votesmart.org/static/canphoto/26741.jpg,"
                Anna Eshoo

                (Won)

                Democratic
",CALIFORNIA,3825
N00007360,Nancy Pelosi ,D,CA12,Y,Y,W,I,H8CA05035,CA12,Nancy Pelosi,"U.S. House
",H,USH_CA_NANCY_PELOSI.jpg,https://static.votesmart.org/static/canphoto/26732.jpg,"
                Nancy Pelosi

                (Won)

                Democratic
",CALIFORNIA,4286
N00007419,Mike Thompson ,D,CA05,Y,Y,W,I,H8CA01109,CA05,Mike Thompson,"U.S. House
",H,USH_CA_MIKE_THOMPSON.jpg,https://static.votesmart.org/static/canphoto/3564.jpg,"
                Mike Thompson

                (Won)

                Democratic
",CALIFORNIA,4934
N00007479,Zoe Lofgren ,D,CA19,Y,Y,W,I,H4CA16049,CA19,Zoe Lofgren,"U.S. House
",H,USH_CA_ZOE_LOFGREN.jpg,https://static.votesmart.org/static/canphoto/21899.jpg,"
                Zoe Lofgren

                (Won)

                Democratic
",CALIFORNIA,4408
N00007635,Amata Coleman Radewagen ,R,AS00,Y,Y,,I,H4AS00036,AS00,,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Aumua-Amata-Radewagen.png,,,
N00007681,Robert Underwood ,D,GU00,Y,Y,,C,H2GU00025,GU00,,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Robert_Underwood_Guam.jpg,,,
N00007727,Earl Blumenauer ,D,OR03,Y,Y,W,I,H6OR03064,OR03,Earl Blumenauer,"U.S. House
",H,USH_OR_EARL_BLUMENAUER.jpg,https://static.votesmart.org/static/canphoto/367.jpg,"
                Earl Blumenauer

                (Won)

                Democratic
",OREGON,4056
N00007781,Peter DeFazio ,D,OR04,Y,Y,W,I,H6OR04047,OR04,Peter DeFazio,"U.S. House
",H,USH_OR_PETER_DEFAZIO.jpg,https://static.votesmart.org/static/canphoto/27037.jpg,"
                Peter DeFazio

                (Won)

                Democratic
",OREGON,4763
N00007833,Adam Smith ,D,WA09,Y,Y,W,I,H6WA09025,WA09,Adam Smith,"U.S. House
",H,USH_WA_ADAM_SMITH.jpg,https://static.votesmart.org/static/canphoto/845.jpg,"
                Adam Smith

                (Won)

                Democratic
",WASHINGTON,4181
N00007999,Don Young ,R,AK01,Y,Y,W,I,H6AK00045,AK01,Donald Young,"U.S. House
",H,USH_AK_DONALD_YOUNG.jpg,https://static.votesmart.org/static/canphoto/26717.jpg,"
                Donald Young

                (Won)

                Republican
",ALASKA,3885
N00008046,Barbara Lee ,D,CA13,Y,Y,W,I,H8CA09060,CA13,Barbara Lee,"U.S. House
",H,USH_CA_BARBARA_LEE.jpg,https://static.votesmart.org/static/canphoto/8315.jpg,"
                Barbara Lee

                (Won)

                Democratic
",CALIFORNIA,4334
N00008122,Eddie Bernice Johnson ,D,TX30,Y,Y,W,I,H2TX00015,TX30,Eddie Johnson,"U.S. House
",H,USH_TX_EDDIE_JOHNSON.jpg,https://static.votesmart.org/static/canphoto/27098.jpg,"
                Eddie Johnson

                (Won)

                Democratic
",TEXAS,4515
N00008598,Tom Alciere ,D,NHS2,Y,Y,,C,S4NH00062,NHS2,,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Tom_Alciere.jpg,,,
N00008799,Kay Granger ,R,TX12,Y,Y,W,I,H6TX12060,TX12,Kay Granger,"U.S. House
",H,USH_TX_KAY_GRANGER.jpg,https://static.votesmart.org/static/canphoto/334.jpg,"
                Kay Granger

                (Won)

                Republican
",TEXAS,4356
N00009504,Gary Popkin ,L,NY09,Y,Y,W,C,H4NY11096,NY09,Gary Popkin,"U.S. House
",H,USH_NY_GARY_POPKIN.jpg,NA,"
                Gary Popkin

                (Lost)

                Libertarian
",NEW YORK,243
N00009585,Adam Schiff ,D,CA28,Y,Y,W,I,H0CA27085,CA28,Adam Schiff,"U.S. House
",H,USH_CA_ADAM_SCHIFF.jpg,https://static.votesmart.org/static/canphoto/9489.jpg,"
                Adam Schiff

                (Won)

                Democratic
",CALIFORNIA,3616
N00009660,Steve Scalise ,R,LA01,Y,Y,,I,H0LA01087,LA01,Steve Scalise,"U.S. House
",H,USH_LA_STEVE_SCALISE.jpg,https://static.votesmart.org/static/canphoto/9026.jpg,"
                Steve Scalise

                (Won)

                Republican
",LOUISIANA,3741
N00009724,Jim Langevin ,D,RI02,Y,Y,,I,H0RI02139,RI02,Jim Langevin,"U.S. House
",H,USH_RI_JIM_LANGEVIN.jpg,https://static.votesmart.org/static/canphoto/55787.jpg,"
                Jim Langevin

                (Won)

                Democratic
",RHODE ISLAND,4481
N00009759,Rick Larsen ,D,WA02,Y,Y,W,I,H0WA02080,WA02,Rick Larsen,"U.S. House
",H,USH_WA_RICK_LARSEN.jpg,https://static.votesmart.org/static/canphoto/56231.jpg,"
                Rick Larsen

                (Won)

                Democratic
",WASHINGTON,5442
N00009771,Shelley Moore Capito ,R,WVS2,Y,Y,W,I,S4WV00159,WVS2,Shelley Capito,"U.S. Senate
",S,USS_WV_SHELLEY_CAPITO.jpg,https://static.votesmart.org/static/canphoto/11701.jpg,"
                Shelley Capito

                (Won)

                Republican
",WEST VIRGINIA,3860
N00009816,Chris Smith ,R,NJ04,Y,Y,W,I,H8NJ04014,NJ04,Chris Smith,"U.S. House
",H,USH_NJ_CHRIS_SMITH.jpg,https://static.votesmart.org/static/canphoto/26952.jpg,"
                Chris Smith

                (Won)

                Republican
",NEW JERSEY,4073
N00009825,Anibal Acevedo-Vila ,3,PR00,Y,Y,,C,H0PR01034,PR00,,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Anibal_Acevedo_Vila.jpg,,,
N00009975,Lindsey Graham ,R,SCS2,Y,Y,W,I,S0SC00149,SCS2,Lindsey Graham,"U.S. Senate
",S,USS_SC_LINDSEY_GRAHAM.jpg,https://static.votesmart.org/static/canphoto/21992.jpg,"
                Lindsey Graham

                (Won)

                Republican
",SOUTH CAROLINA,4620
N00011042,Jo Jorgensen ,L,PRES,Y,Y,W,C,P00013524,PRES,,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/JoJorgensen.png,,,
N00012192,Dorothy Benford ,D,MS03,Y,Y,W,C,H8MS02044,MS03,Dorothy Benford,"U.S. House
",H,USH_MS_DOROTHY_BENFORD.jpg,NA,"
                Dorothy Benford

                (Lost)

                Democratic
",MISSISSIPPI,243
