wmpid,full_name,opponents,opponent_names
WMPID1866,Jack Schrepel,WMPID3990|WMPID3956|WMPID5092|WMPID827,Alessandra Biaggi|Jack Schrepel|Michael Vincent Lawler|Shoshana David|Sean Patrick Maloney
WMPID3956,Michael Vincent Lawler,WMPID3990|WMPID1866|WMPID5092|WMPID827,Alessandra Biaggi|Jack Schrepel|Michael Vincent Lawler|Shoshana David|Sean Patrick Maloney
WMPID5092,Shoshana David,WMPID3990|WMPID1866|WMPID3956|WMPID827,Alessandra Biaggi|Jack Schrepel|Michael Vincent Lawler|Shoshana David|Sean Patrick Maloney
WMPID3771,Colin Schmitt,WMPID4929|WMPID2619,Colin Schmitt|Aisha Mills|Patrick Ryan
WMPID4929,Aisha Mills,WMPID3771|WMPID2619,Colin Schmitt|Aisha Mills|Patrick Ryan
WMPID4102,Marcus Molinaro,WMPID2570|WMPID1629,Marcus Molinaro|Jamie Cheney|Josh Riley
WMPID2570,Jamie Cheney,WMPID4102|WMPID1629,Marcus Molinaro|Jamie Cheney|Josh Riley
WMPID3093,Rostislav Rar,WMPID512|WMPID1196,Elizabeth Joy|Rostislav Rar|Paul Tonko
WMPID3550,Matthew Putorti,WMPID4125|WMPID918,Matthew Putorti|Matt Castelli|Elise Stefanik
WMPID4125,Matt Castelli,WMPID3550|WMPID918,Matthew Putorti|Matt Castelli|Elise Stefanik
WMPID827,Sean Patrick Maloney,WMPID3990|WMPID1866|WMPID3956|WMPID5092,Alessandra Biaggi|Jack Schrepel|Michael Vincent Lawler|Shoshana David|Sean Patrick Maloney
WMPID4498,Hal Stewart,WMPID3480|WMPID2583|WMPID3687|WMPID2826|WMPID4695,Francis Conole|Hal Stewart|Sam Roberts|Brandon McDonald Williams|Steven Wells|Sarah Klee Hood
WMPID2583,Sam Roberts,WMPID3480|WMPID4498|WMPID3687|WMPID2826|WMPID4695,Francis Conole|Hal Stewart|Sam Roberts|Brandon McDonald Williams|Steven Wells|Sarah Klee Hood
WMPID3687,Brandon McDonald Williams,WMPID3480|WMPID4498|WMPID2583|WMPID2826|WMPID4695,Francis Conole|Hal Stewart|Sam Roberts|Brandon McDonald Williams|Steven Wells|Sarah Klee Hood
WMPID2826,Steven Wells,WMPID3480|WMPID4498|WMPID2583|WMPID3687|WMPID4695,Francis Conole|Hal Stewart|Sam Roberts|Brandon McDonald Williams|Steven Wells|Sarah Klee Hood
WMPID2368,Joseph Sempolinski,WMPID4849|WMPID4778|WMPID4798|WMPID3594,Joseph Sempolinski|Carl Pasquale Paladino|Nick Langworthy|James Allen Regenor|Max Della Pia
WMPID2351,Mario Fratto,WMPID2661|WMPID4523|WMPID919|WMPID4963,Mario Fratto|Steven Wesley Sr. Holden|Chol-Awan Majok|Claudia Tenney|George Phillips
WMPID4849,Carl Pasquale Paladino,WMPID2368|WMPID4778|WMPID4798|WMPID3594,Joseph Sempolinski|Carl Pasquale Paladino|Nick Langworthy|James Allen Regenor|Max Della Pia
WMPID4778,Nick Langworthy,WMPID2368|WMPID4849|WMPID4798|WMPID3594,Joseph Sempolinski|Carl Pasquale Paladino|Nick Langworthy|James Allen Regenor|Max Della Pia
WMPID4798,James Allen Regenor,WMPID2368|WMPID4849|WMPID4778|WMPID3594,Joseph Sempolinski|Carl Pasquale Paladino|Nick Langworthy|James Allen Regenor|Max Della Pia
WMPID2661,Steven Wesley Sr. Holden,WMPID2351|WMPID4523|WMPID919|WMPID4963,Mario Fratto|Steven Wesley Sr. Holden|Chol-Awan Majok|Claudia Tenney|George Phillips
WMPID4695,Sarah Klee Hood,WMPID3480|WMPID4498|WMPID2583|WMPID3687|WMPID2826,Francis Conole|Hal Stewart|Sam Roberts|Brandon McDonald Williams|Steven Wells|Sarah Klee Hood
WMPID4523,Chol-Awan Majok,WMPID2351|WMPID2661|WMPID919|WMPID4963,Mario Fratto|Steven Wesley Sr. Holden|Chol-Awan Majok|Claudia Tenney|George Phillips
WMPID4247,La'Ron Desmond Singletary,WMPID1201,La'Ron Desmond Singletary|Joseph D Morelle
WMPID1857,Steven Lynn II Sams,WMPID4704|WMPID921,Emin Egriu|Steven Lynn II Sams|Brian M Higgins
WMPID3309,Greg Landsman,WMPID1202,Greg Landsman|Steve Chabot
WMPID828,Brad Wenstrup,WMPID1563,Brad Wenstrup|Samantha Meadows
WMPID1563,Samantha Meadows,WMPID828,Brad Wenstrup|Samantha Meadows
WMPID829,Michael R Turner,WMPID1612,Michael R Turner|David Esrati
WMPID830,Joyce Beatty,WMPID3362,Joyce Beatty|Lee Stahley
WMPID3362,Lee Stahley,WMPID830,Joyce Beatty|Lee Stahley
WMPID2629,Tamie Wilson,WMPID1006,Tamie Wilson|Jim Jordan
WMPID3174,Youseff Milad Baddar,WMPID831|WMPID3516,Youseff Milad Baddar|Marcy Kaptur|J R Majewski
WMPID3698,Craig Stephen Swartz,WMPID1203,Craig Stephen Swartz|Robert E Latta
WMPID2045,Lynn Carol Gorman,WMPID3527|WMPID2153,Lynn Carol Gorman|Madison Gesiotto Gilbert|Emilia Sykes
WMPID831,Marcy Kaptur,WMPID3174|WMPID3516,Youseff Milad Baddar|Marcy Kaptur|J R Majewski
WMPID3516,J R Majewski,WMPID3174|WMPID831,Youseff Milad Baddar|Marcy Kaptur|J R Majewski
WMPID3527,Madison Gesiotto Gilbert,WMPID2045|WMPID2153,Lynn Carol Gorman|Madison Gesiotto Gilbert|Emilia Sykes
WMPID2390,M Shontel Brown,WMPID2347,M Shontel Brown|Eric Brewer
WMPID2347,Eric Brewer,WMPID2390,M Shontel Brown|Eric Brewer
WMPID2040,Amy Rippel-Elton,WMPID1207,Amy Rippel-Elton|Troy Balderson
WMPID2376,Matthew Kilboy,WMPID832,Matthew Kilboy|David P Joyce
WMPID2153,Emilia Sykes,WMPID2045|WMPID3527,Lynn Carol Gorman|Madison Gesiotto Gilbert|Emilia Sykes
WMPID832,David P Joyce,WMPID2376,Matthew Kilboy|David P Joyce
WMPID1862,Elizabeth Grace Mckenzie,WMPID3947|WMPID3879,Elizabeth Grace Mckenzie|Mike Carey|Gary Josephson
WMPID3947,Mike Carey,WMPID1862|WMPID3879,Elizabeth Grace Mckenzie|Mike Carey|Gary Josephson
WMPID3879,Gary Josephson,WMPID1862|WMPID3947,Elizabeth Grace Mckenzie|Mike Carey|Gary Josephson
WMPID4207,Matthew Diemer,WMPID1568,Matthew Diemer|Max Miller
WMPID1568,Max Miller,WMPID4207,Matthew Diemer|Max Miller
WMPID4392,Adam Martin,WMPID1008|WMPID1212,Adam Martin|Evelyn Rogers|Kevin Hern
WMPID4465,Avery Frix,WMPID3542|WMPID3085|WMPID4923,Avery Frix|Naomi Andrews|Josh Brecheen|Bulldog Ben Robinson
WMPID3542,Naomi Andrews,WMPID4465|WMPID3085|WMPID4923,Avery Frix|Naomi Andrews|Josh Brecheen|Bulldog Ben Robinson
WMPID3085,Josh Brecheen,WMPID4465|WMPID3542|WMPID4923,Avery Frix|Naomi Andrews|Josh Brecheen|Bulldog Ben Robinson
WMPID4923,Bulldog Ben Robinson,WMPID4465|WMPID3542|WMPID3085,Avery Frix|Naomi Andrews|Josh Brecheen|Bulldog Ben Robinson
WMPID4920,Jeremiah Ross,WMPID922,Jeremiah Ross|Frank D Lucas
WMPID835,Tom Cole,WMPID1213,Tom Cole|Mary Brannon
WMPID3077,Joshua Harris-Till,WMPID551|WMPID4909,Stephanie Bice|Joshua Harris-Till|David Frosch
WMPID4909,David Frosch,WMPID551|WMPID3077,Stephanie Bice|Joshua Harris-Till|David Frosch
WMPID836,Suzanne Bonamici,WMPID4638|WMPID4232,Suzanne Bonamici|Nicholas Rascon|Christopher Allan Mann
WMPID4638,Nicholas Rascon,WMPID836|WMPID4232,Suzanne Bonamici|Nicholas Rascon|Christopher Allan Mann
WMPID4232,Christopher Allan Mann,WMPID836|WMPID4638,Suzanne Bonamici|Nicholas Rascon|Christopher Allan Mann
WMPID3110,Joseph Frederick III Yetter,WMPID555,Cliff Bentz|Joseph Frederick III Yetter
WMPID4342,Valerie Hoyle,WMPID560|WMPID5119|WMPID5152|WMPID5143,Alek Skarlatos|Valerie Hoyle|Levi Leatherberry|James Milo Howard|Michael Allan Beilstein
WMPID5119,Levi Leatherberry,WMPID560|WMPID4342|WMPID5152|WMPID5143,Alek Skarlatos|Valerie Hoyle|Levi Leatherberry|James Milo Howard|Michael Allan Beilstein
WMPID3896,Lori Chavez-Deremer,WMPID4278,Lori Chavez-Deremer|Jamie Mcleod-Skinner
WMPID4643,Andrea Salinas,WMPID2170|WMPID5117,Andrea Salinas|Mike Erickson|Larry Mcfarland
WMPID2170,Mike Erickson,WMPID4643|WMPID5117,Andrea Salinas|Mike Erickson|Larry Mcfarland
WMPID5117,Larry Mcfarland,WMPID4643|WMPID2170,Andrea Salinas|Mike Erickson|Larry Mcfarland
WMPID3124,Henry Conoly,WMPID4502|WMPID1701|WMPID1012,Henry Conoly|Ashley Ehasz|Caroline Avery|Brian Fitzpatrick
WMPID4502,Ashley Ehasz,WMPID3124|WMPID1701|WMPID1012,Henry Conoly|Ashley Ehasz|Caroline Avery|Brian Fitzpatrick
WMPID1701,Caroline Avery,WMPID3124|WMPID4502|WMPID1012,Henry Conoly|Ashley Ehasz|Caroline Avery|Brian Fitzpatrick
WMPID3576,Haroon Bashir,WMPID923,Haroon Bashir|Brendan Boyle
WMPID837,Scott Perry,WMPID2625,Scott Perry|Shamaine Daniels
WMPID2876,Christian Nascimento,WMPID1217,Christian Nascimento|Madeleine Dean
WMPID3975,David Galluch,WMPID4237|WMPID1220,David Galluch|Robert Margus|Mary Gay Scanlon
WMPID4237,Robert Margus,WMPID3975|WMPID1220,David Galluch|Robert Margus|Mary Gay Scanlon
WMPID3395,Guy Ciarrocchi,WMPID1219,Guy Ciarrocchi|Chrissy Houlahan
WMPID1613,Amanda Waldman,WMPID1221,Amanda Waldman|Dan Meuser
WMPID2625,Shamaine Daniels,WMPID837,Scott Perry|Shamaine Daniels
WMPID3796,Robert Michael III Hollister,WMPID1013,Robert Michael III Hollister|Lloyd Smucker
WMPID1703,Michael Doyle,WMPID2611,Michael Doyle|Summer Lee
WMPID4937,Mike Molesevich,WMPID1218,Mike Molesevich|Glenn Thompson
WMPID2044,Daniel Pastore,WMPID564,Mike Kelly|Daniel Pastore
WMPID838,Matt Cartwright,WMPID572,Jim Bognet|Matt Cartwright
WMPID3081,Christopher Deluzio,WMPID2949|WMPID2092,Christopher Deluzio|Jeremy Shaffer|Walter Steve Sluzynsky
WMPID2949,Jeremy Shaffer,WMPID3081|WMPID2092,Christopher Deluzio|Jeremy Shaffer|Walter Steve Sluzynsky
WMPID2092,Walter Steve Sluzynsky,WMPID3081|WMPID2949,Christopher Deluzio|Jeremy Shaffer|Walter Steve Sluzynsky
WMPID2611,Summer Lee,WMPID1703,Michael Doyle|Summer Lee
WMPID1421,Allen Waters,WMPID590,David Cicilline|Allen Waters
WMPID3071,Seth Magaziner,WMPID4637|WMPID4956,Seth Magaziner|Allan Fung|William Gilbert
WMPID4637,Allan Fung,WMPID3071|WMPID4956,Seth Magaziner|Allan Fung|William Gilbert
WMPID4956,William Gilbert,WMPID3071|WMPID4637,Seth Magaziner|Allan Fung|William Gilbert
WMPID4171,Annie Andrews,WMPID595|WMPID2813|WMPID5111,Nancy Mace|Courtney Yvonne Burks|Annie Andrews|Joseph Oddo
WMPID839,James E Clyburn,WMPID2626,James E Clyburn|Duke Buckner
WMPID840,Joe Wilson,WMPID4645,Joe Wilson|Juddson Larkins
WMPID4645,Juddson Larkins,WMPID840,Joe Wilson|Juddson Larkins
WMPID5111,Joseph Oddo,WMPID595|WMPID2813|WMPID4171,Nancy Mace|Courtney Yvonne Burks|Annie Andrews|Joseph Oddo
WMPID841,Michael Chandler,WMPID4826|WMPID1228,Michael Chandler|Ken Hill|William Timmons
WMPID4826,Ken Hill,WMPID841|WMPID1228,Michael Chandler|Ken Hill|William Timmons
WMPID4870,Evangeline Hundley,WMPID5133|WMPID1229,Evangeline Hundley|Larry Gaither|Ralph Norman
WMPID2626,Duke Buckner,WMPID839,James E Clyburn|Duke Buckner
WMPID2653,Russell Fry,WMPID4167|WMPID1230,Russell Fry|Daryl Scott|Larry Guy Hammond
WMPID4167,Daryl Scott,WMPID2653|WMPID1230,Russell Fry|Daryl Scott|Larry Guy Hammond
WMPID5122,Collin Duprel,WMPID1231,Collin Duprel|Dusty Johnson
WMPID4286,Cameron Parsons,WMPID606|WMPID5137|WMPID5023,Diana Harshbarger|Richard Baker|Cameron Parsons|Ahmed Matthew Makrom
WMPID5023,Ahmed Matthew Makrom,WMPID606|WMPID5137|WMPID4286,Diana Harshbarger|Richard Baker|Cameron Parsons|Ahmed Matthew Makrom
WMPID3099,Mark Desmond Harmon,WMPID1232,Mark Desmond Harmon|Tim Burchett
WMPID2587,Clyde Benson,WMPID610|WMPID5110|WMPID5159|WMPID1836,Scott Desjarlais|Clyde Benson|Mike Winton|Tharon Chandler|Russell Steele
WMPID1700,Jacquelyn Odessa Kelly,WMPID1238,Jacquelyn Odessa Kelly|Mark Green
WMPID2705,Richard Alan Jr. Shannon,WMPID3239|WMPID4517|WMPID4099|WMPID5071,Richard Alan Jr. Shannon|Derrick Brantley|Heidi Campbell|Andy Ogles|I.O. Cooper
WMPID3239,Derrick Brantley,WMPID2705|WMPID4517|WMPID4099|WMPID5071,Richard Alan Jr. Shannon|Derrick Brantley|Heidi Campbell|Andy Ogles|I.O. Cooper
WMPID4517,Heidi Campbell,WMPID2705|WMPID3239|WMPID4099|WMPID5071,Richard Alan Jr. Shannon|Derrick Brantley|Heidi Campbell|Andy Ogles|I.O. Cooper
WMPID4099,Andy Ogles,WMPID2705|WMPID3239|WMPID4517|WMPID5071,Richard Alan Jr. Shannon|Derrick Brantley|Heidi Campbell|Andy Ogles|I.O. Cooper
WMPID5071,I.O. Cooper,WMPID2705|WMPID3239|WMPID4517|WMPID4099,Richard Alan Jr. Shannon|Derrick Brantley|Heidi Campbell|Andy Ogles|I.O. Cooper
WMPID4857,Randal Dean Cooper,WMPID1235|WMPID1236,Randal Dean Cooper|Christopher Monday|John Rose
WMPID844,David Kustoff,WMPID5163|WMPID4950|WMPID5165,David Kustoff|James Hart|Lynnette Williams|Ronnie Henley
WMPID5163,James Hart,WMPID844|WMPID4950|WMPID5165,David Kustoff|James Hart|Lynnette Williams|Ronnie Henley
WMPID4950,Lynnette Williams,WMPID844|WMPID5163|WMPID5165,David Kustoff|James Hart|Lynnette Williams|Ronnie Henley
WMPID5165,Ronnie Henley,WMPID844|WMPID5163|WMPID4950,David Kustoff|James Hart|Lynnette Williams|Ronnie Henley
WMPID846,Clark Paterson,WMPID690|WMPID928,Jennifer Sharon|Clark Paterson|Lloyd Doggett
WMPID4217,Nathaniel Quentin Moran,WMPID3240,Nathaniel Quentin Moran|Jrmar Jefferson
WMPID3240,Jrmar Jefferson,WMPID4217,Nathaniel Quentin Moran|Jrmar Jefferson
WMPID4285,Robin Dawn Fulford,WMPID1240,Robin Dawn Fulford|Dan Crenshaw
WMPID847,Pete Sessions,WMPID3277,Pete Sessions|Marshall Woods
WMPID1718,Sandeep Kumar Srivastava,WMPID4189|WMPID851,Sandeep Kumar Srivastava|Keith Alan Self|Chris Claytor
WMPID4189,Keith Alan Self,WMPID1718|WMPID851,Sandeep Kumar Srivastava|Keith Alan Self|Chris Claytor
WMPID3054,Iroghama Omere,WMPID628|WMPID5030,Patrick Fallon|Iroghama Omere|John Simmons
WMPID5030,John Simmons,WMPID628|WMPID3054,Patrick Fallon|Iroghama Omere|John Simmons
WMPID3260,Tartisha Hill,WMPID1243,Tartisha Hill|Lance Gooden
WMPID3233,Takona Eileen Scauflaire,WMPID2848,Takona Eileen Scauflaire|John Kevin Sr. Ellzey
WMPID2639,Morgan Joe Luttrell,WMPID2863|WMPID3680,Laura Jones|Roy Eriksen|Morgan Joe Luttrell
WMPID3337,Randall Lee Addison,WMPID3964|WMPID927,Randall Lee Addison|Jimmy Leon|Al Green
WMPID3964,Jimmy Leon,WMPID3337|WMPID927,Randall Lee Addison|Jimmy Leon|Al Green
WMPID2970,Trey Joseph Hunt,WMPID1022,Trey Joseph Hunt|Kay Granger
WMPID3470,Mary Kathleen Brown,WMPID650,Ronny Jackson|Mary Kathleen Brown
WMPID848,Randy Weber,WMPID3356,Mikal Williams|Randy Weber
WMPID3257,Michelle Vallejo,WMPID654|WMPID1260,Monica De La Cruz Hernandez|Michelle Vallejo|Ross Leone
WMPID3277,Marshall Woods,WMPID847,Pete Sessions|Marshall Woods
WMPID1707,Carmen Montiel,WMPID3459|WMPID931|WMPID5052|WMPID1248,Carmen Montiel|Tina Richel Seals Singh Chaudry Kumar|Sheila Jackson Lee|Vince Duncan|Phil Kurtz
WMPID3459,Tina Richel Seals Singh Chaudry Kumar,WMPID1707|WMPID931|WMPID5052|WMPID1248,Carmen Montiel|Tina Richel Seals Singh Chaudry Kumar|Sheila Jackson Lee|Vince Duncan|Phil Kurtz
WMPID2284,Nathan Allen Lewis,WMPID1024,Nathan Allen Lewis|Jodey Arrington
WMPID3448,Kyle Sinclair,WMPID856,Kyle Sinclair|Joaquin Castro
WMPID4258,Jamie Kaye Jordan,WMPID667|WMPID3038,Troy Nehls|Joseph Jr. Leblanc|Jamie Kaye Jordan
WMPID849,Henry Cuellar,WMPID3721,Henry Cuellar|Cassandra Garcia
WMPID3703,John Lira,WMPID688|WMPID4195,Tony Gonzales|John Lira|Francisco Jr Lopez
WMPID4195,Francisco Jr Lopez,WMPID688|WMPID3703,Tony Gonzales|John Lira|Francisco Jr Lopez
WMPID4535,Scott Collier,WMPID4820|WMPID854,Scott Collier|Tristan Miller|Roger Williams
WMPID4820,Tristan Miller,WMPID4535|WMPID854,Scott Collier|Tristan Miller|Roger Williams
WMPID850,Michael Burgess,WMPID4182,Michael Burgess|Mike Kolls
WMPID851,Chris Claytor,WMPID1718|WMPID4189,Sandeep Kumar Srivastava|Keith Alan Self|Chris Claytor
WMPID2304,Maclovio Jr Perez,WMPID1259,Maclovio Jr Perez|Michael Cloud
WMPID3721,Cassandra Garcia,WMPID849,Henry Cuellar|Cassandra Garcia
WMPID2315,Jasmine Crockett,WMPID3919|WMPID3593,Jasmine Crockett|Deborah Walker|James Byron Rodgers
WMPID3919,Deborah Walker,WMPID2315|WMPID3593,Jasmine Crockett|Deborah Walker|James Byron Rodgers
WMPID3593,James Byron Rodgers,WMPID2315|WMPID3919,Jasmine Crockett|Deborah Walker|James Byron Rodgers
WMPID853,John Carter,,John Carter
WMPID4519,Antonio Swad,WMPID1263,Antonio Swad|Colin Allred
WMPID854,Roger Williams,WMPID4535|WMPID4820,Scott Collier|Tristan Miller|Roger Williams
WMPID855,Marc Veasey,WMPID2240|WMPID1242,Marc Veasey|Patrick David Gillespie|Ken Ashby
WMPID2240,Patrick David Gillespie,WMPID855|WMPID1242,Marc Veasey|Patrick David Gillespie|Ken Ashby
WMPID1665,Mayra Nohemi Flores,WMPID4973|WMPID3638|WMPID1023,Chris Royal|Mayra Nohemi Flores|Ronald Mills|Vicente Gonzalez
WMPID3638,Ronald Mills,WMPID4973|WMPID1665|WMPID1023,Chris Royal|Mayra Nohemi Flores|Ronald Mills|Vicente Gonzalez
WMPID856,Joaquin Castro,WMPID3448,Kyle Sinclair|Joaquin Castro
WMPID4581,Claudia Andreana Zapata,WMPID1254,Claudia Andreana Zapata|Chip Roy
WMPID3613,Greg Casar,WMPID1903|WMPID2797,Eldon Dan Mcqueen|Greg Casar|Michael Idrogo
WMPID3449,Marvin Jonathan Haire,WMPID1020,Marvin Jonathan Haire|Brian Babin
WMPID3634,Duncan Foster Klussmann,WMPID636|WMPID4933,Wesley Hunt|Duncan Foster Klussmann|Joel Dejean
WMPID4933,Joel Dejean,WMPID636|WMPID3634,Wesley Hunt|Duncan Foster Klussmann|Joel Dejean
WMPID3504,Rick Jones,WMPID696,Blake Moore|Rick Jones
WMPID857,Chris Stewart,WMPID3382|WMPID2358|WMPID3274,Chris Stewart|Jay Jaymac Mcfarland|Nicholas Mitchell|Cassie Easley
WMPID3382,Jay Jaymac Mcfarland,WMPID857|WMPID2358|WMPID3274,Chris Stewart|Jay Jaymac Mcfarland|Nicholas Mitchell|Cassie Easley
WMPID2358,Nicholas Mitchell,WMPID857|WMPID3382|WMPID3274,Chris Stewart|Jay Jaymac Mcfarland|Nicholas Mitchell|Cassie Easley
WMPID3274,Cassie Easley,WMPID857|WMPID3382|WMPID2358,Chris Stewart|Jay Jaymac Mcfarland|Nicholas Mitchell|Cassie Easley
WMPID4250,Glenn Wright,WMPID2124|WMPID1264|WMPID3250,Glenn Wright|Michael Stoddard|John Curtis|Aaron Heineman
WMPID2124,Michael Stoddard,WMPID4250|WMPID1264|WMPID3250,Glenn Wright|Michael Stoddard|John Curtis|Aaron Heineman
WMPID2610,January Walker,WMPID706|WMPID4007,Burgess Owens|January Walker|Darlene Mcdonald
WMPID4367,Austin Ryan Nichols,WMPID5138|WMPID3620|WMPID1266,David Foster|Austin Ryan Nichols|Herbert Carroll Jr Jones|Rob Wittman
WMPID3620,Herbert Carroll Jr Jones,WMPID5138|WMPID4367|WMPID1266,David Foster|Austin Ryan Nichols|Herbert Carroll Jr Jones|Rob Wittman
WMPID2896,Jennifer Kiggans,WMPID4616|WMPID1267,Jennifer Kiggans|Garry Hubbard|Elaine Luria
WMPID1938,Terry Tolbert Namkung,WMPID1027,Terry Tolbert Namkung|Bobby Scott
WMPID2345,Joshua Throneburg,WMPID715,Bob Good|Joshua Throneburg
WMPID2756,Daniel Joseph Lebeau,WMPID1268|WMPID3329,Daniel Joseph Lebeau|Ben Cline|Jennifer Lynn Lewis
WMPID3408,Yesli Vega,WMPID1269,Yesli Vega|Abigail Spanberger
WMPID3008,Karina Lipsman,WMPID3582|WMPID935,Karina Lipsman|Theodore Fikre|Don Beyer
WMPID3582,Theodore Fikre,WMPID3008|WMPID935,Karina Lipsman|Theodore Fikre|Don Beyer
WMPID2144,Taysha Lee Devaughan,WMPID726,Morgan Griffith|Taysha Lee Devaughan
WMPID4716,Hung Cao,WMPID1270,Hung Cao|Jennifer Wexton
WMPID3319,Jeramy Olmack,WMPID4161|WMPID1271,Jeramy Olmack|James Myles|Gerry Connolly
WMPID4161,James Myles,WMPID3319|WMPID1271,Jeramy Olmack|James Myles|Gerry Connolly
WMPID858,Stacey Plaskett,,Stacey Plaskett
WMPID5069,Barbara Nolfi,WMPID2308|WMPID2620,Barbara Nolfi|Rebecca Becca Balint|Liam Madden
WMPID2308,Rebecca Becca Balint,WMPID5069|WMPID2620,Barbara Nolfi|Rebecca Becca Balint|Liam Madden
WMPID2620,Liam Madden,WMPID5069|WMPID2308,Barbara Nolfi|Rebecca Becca Balint|Liam Madden
WMPID2621,Vincent Cavaleri,WMPID743,Suzan DelBene|Vincent Cavaleri
WMPID1582,Dan Matthews,WMPID735|WMPID736,Rick Larsen|Jason Call|Dan Matthews
WMPID3363,Joseph Kent,WMPID3256,Joseph Kent|Marie Gluesenkamp Perez
WMPID3256,Marie Gluesenkamp Perez,WMPID3363,Joseph Kent|Marie Gluesenkamp Perez
WMPID3849,Doug White,WMPID936,Doug White|Dan Newhouse
WMPID3166,Natasha Hill,WMPID937,Natasha Hill|Cathy McMorris Rodgers
WMPID859,Derek Kilmer,WMPID742,Elizabeth Kreiselmaier|Derek Kilmer
WMPID3263,Paul Glumaz,WMPID4897|WMPID1031,Paul Glumaz|Clifford Moon|Pramila Jayapal
WMPID4897,Clifford Moon,WMPID3263|WMPID1031,Paul Glumaz|Clifford Moon|Pramila Jayapal
WMPID860,Keith Swank,WMPID746,Marilyn Strickland|Keith Swank
WMPID2880,Matt Larkin,WMPID1280,Matt Larkin|Kim Schrier
WMPID2029,Ann Roe,WMPID1281,Ann Roe|Bryan Steil
WMPID861,Mark Pocan,WMPID3729|WMPID4549,Mark Pocan|Charity Barry|Erik Olsen
WMPID3729,Charity Barry,WMPID861|WMPID4549,Mark Pocan|Charity Barry|Erik Olsen
WMPID4549,Erik Olsen,WMPID861|WMPID3729,Mark Pocan|Charity Barry|Erik Olsen
WMPID2537,Brad Pfaff,WMPID753,Derrick Van Orden|Brad Pfaff
WMPID2197,Mike Van Someren,WMPID755|WMPID3315,Scott Fitzgerald|Mike Van Someren|Jim Kidd Kidd
WMPID3315,Jim Kidd Kidd,WMPID755|WMPID2197,Scott Fitzgerald|Mike Van Someren|Jim Kidd Kidd
WMPID3010,George Kellogg,WMPID758|WMPID4954,Tom Tiffany|George Kellogg|Richard Ausman
WMPID4954,Richard Ausman,WMPID758|WMPID3010,Tom Tiffany|George Kellogg|Richard Ausman
WMPID2847,Jacob John Vandenplas,WMPID3750|WMPID1035|WMPID5121,Jacob John Vandenplas|Paul David Boucher|Mike Gallagher|Ralph Hoffman
WMPID3750,Paul David Boucher,WMPID2847|WMPID1035|WMPID5121,Jacob John Vandenplas|Paul David Boucher|Mike Gallagher|Ralph Hoffman
WMPID1615,Barry Lee Wendell,WMPID942,Barry Lee Wendell|Alex Mooney
WMPID5149,Richard Brubaker,WMPID767|WMPID4061|WMPID4514,Lynnette Grey Bull|Richard Brubaker|Harriet Hageman|Marissa Joy Selvig
WMPID4061,Harriet Hageman,WMPID767|WMPID5149|WMPID4514,Lynnette Grey Bull|Richard Brubaker|Harriet Hageman|Marissa Joy Selvig
WMPID4514,Marissa Joy Selvig,WMPID767|WMPID5149|WMPID4061,Lynnette Grey Bull|Richard Brubaker|Harriet Hageman|Marissa Joy Selvig
WMPID5100,Thomas Casson,WMPID769|WMPID2759|WMPID2793,Mike D Rogers|Douglas Bell|Karen Lin Veasey|Thomas Casson
WMPID862,Gary Palmer,,Gary Palmer
WMPID863,French Hill,WMPID2822|WMPID2319,Quintessa Hathaway|Michael White|French Hill
WMPID864,Bruce Westerman,WMPID4244|WMPID3596,John White|Gregory Maxwell|Bruce Westerman
WMPID865,Amata Coleman Radewagen,,Amata Coleman Radewagen
WMPID866,David Schweikert,WMPID2788|WMPID1822|WMPID4177|WMPID2195,Kirsten Engel|Juan Ciscomani|William Foster|Frank Bertone|David Schweikert
WMPID867,Ruben Gallego,WMPID1650|WMPID4478,Luis Pozzolo|Jeffrey Nelson Zink|Ruben Gallego
WMPID870,Ro Khanna,WMPID61,Ritesh Tandon|Ro Khanna
WMPID871,Zoe Lofgren,WMPID62|WMPID4064,Rishi Kumar|Peter Hernandez|Zoe Lofgren
WMPID872,Jim Costa,WMPID1772,Michael Maher|Jim Costa
WMPID873,Maxine Waters,WMPID4141,Maxine Waters|Omar Navarro
WMPID874,Ted Lieu,WMPID84,Joe Collins|Ted Lieu
WMPID875,Norma Torres,WMPID78,Mike Cargile|Norma Torres
WMPID878,Ken Buck,WMPID98|WMPID1868|WMPID1704|WMPID1309,Isaac McCorkle|Ryan James Mcgonigal|Donna Windholz|Joshua Rodriguez|Ken Buck
WMPID880,Alan Cohn,WMPID3609|WMPID4370|WMPID2582|WMPID3252|WMPID3902|WMPID4040|WMPID2943|WMPID4000|WMPID1667|WMPID3993|WMPID2326,Kevin John Mcgovern|William Vanhorn|Eddie Geller|Jackie Toledo|Dennis Ross|Gavin Brown|Kelli Stargel|Laurel Lee|Cesar Ramirez|Jerry Torres|Alan Cohn|Demetries Andrew Cdr Usn Ret Grimes
WMPID881,Debbie Wasserman Schultz,WMPID2265|WMPID169|WMPID2445|WMPID4908,Darren Dione Aquino|Carla Spalding|Rubin Young|Robert Millwee|Debbie Wasserman Schultz
WMPID882,Buddy Carter,WMPID2811|WMPID3733,Wade Wilkes II Herring|George II Litchfield|Buddy Carter
WMPID1748,Michael Jr Collins,WMPID1098,Michael Jr Collins|Tabitha Johnson-Green
